Rank,Name,Ticker,Return (%),Risk
1,INVESCO EXCHANGE TRADED FD TR C,RSPD.BA,28.68,0.017
2,"Arista Networks, Inc.",ANETD.BA,130.02,0.062
3,Target Corporation,TGTD.BA,97.75,0.156
4,INVESCO EXCHANGE TRADED FD TR C,RSP.BA,53.94,0.099
5,Golar LNG Limited,GLNG.BA,56.3,0.108
6,Target Corporation,TGT.BA,98.75,0.179
7,Novartis AG,NVSD.BA,59.03,0.137
8,SLB N.V.,SLBD.BA,72.13,0.172
9,"Banco Santander, S.A.",SAND.BA,70.53,0.191
10,"Merck & Co., Inc.",MRKD.BA,102.13,0.268
11,Rio Tinto Group,RIO.BA,71.34,0.208
12,Rio Tinto Group,RIOD.BA,77.21,0.227
13,RAGHSA Sociedad Anonima,RAGH.BA,34.79,0.122
14,"Mizuho Financial Group, Inc.",MFG.BA,81.38,0.247
15,Freeport-McMoRan Inc.,FCX.BA,124.3,0.357
16,Colgate-Palmolive Company,CLD.BA,76.77,0.253
17,BHP Group Limited,BHP.BA,90.84,0.289
18,BHP Group Limited,BHPD.BA,103.95,0.326
19,Freeport-McMoRan Inc.,FCXD.BA,120.84,0.368
20,The Coca-Cola Company,KOD.BA,44.48,0.171
21,"Banco Bilbao Vizcaya Argentaria, S.A.",BBV.BA,75.82,0.265
22,Ternium S.A.,TXRD.BA,86.83,0.308
23,"Ross Stores, Inc.",ROST.BA,67.35,0.257
24,Johnson & Johnson,JNJD.BA,56.55,0.224
25,Realty Income Corporation,O.BA,41.55,0.173
26,Bank of America Corp,BA-C.BA,0.09,0.0
27,Vale S.A.,VALE3.BA,56.48,0.226
28,"Coca-Cola FEMSA, S.A.B. de C.V.",KOFM.BA,52.2,0.212
29,TotalEnergies SE,TTE.BA,63.16,0.249
30,"Bitmine Immersion Technologies, Inc.",BMNRD.BA,64.1,0.255
31,Johnson & Johnson,JNJ.BA,58.11,0.237
32,"The Goldman Sachs Group, Inc.",GSD.BA,43.29,0.187
33,SLB N.V.,SLB.BA,101.98,0.37
34,Nucor Corporation,NUE.BA,117.66,0.414
35,iShares Trust - iShares S&P 500 Value ETF,IVE.BA,27.64,0.13
36,Ambev S.A.,ABEVD.BA,72.62,0.305
37,HSBC Holdings plc,HSBC.BA,61.77,0.27
38,Tenaris S.A.,TEND.BA,77.86,0.326
39,Shell plc,SHELD.BA,42.7,0.201
40,RTX Corporation,RTXD.BA,46.75,0.221
41,GeoPark Limited,GPRKD.BA,98.47,0.4
42,"Gilead Sciences, Inc.",GILDD.BA,56.35,0.259
43,Eni S.p.A.,E.BA,76.59,0.333
44,"Cisco Systems, Inc.",CSCO.BA,84.67,0.363
45,Southern Copper Corporation,SCCO.BA,114.19,0.456
46,ExxonMobil Holdings Corporation,XOM.BA,57.64,0.271
47,International Flavors & Fragrances Inc.,IFF.BA,54.96,0.261
48,Vale S.A.,VALE.BA,52.58,0.256
49,Cablevisión Holding S.A.,CVH.BA,152.79,0.575
50,iShares Trust - iShares MSCI EAFE ETF,EFA.BA,24.1,0.13
51,Banco Comafi S.A.,ESGU.BA,36.81,0.191
52,KB Financial Group Inc.,KB.BA,69.96,0.327
53,Vodafone Group Public Limited Company,VOD.BA,52.92,0.263
54,ING Groep N.V.,ING.BA,50.08,0.254
55,ExxonMobil Holdings Corporation,XOMD.BA,58.45,0.288
56,"Banco Santander, S.A.",SAN.BA,54.62,0.274
57,"The Goldman Sachs Group, Inc.",GS.BA,40.76,0.214
58,Vale S.A.,VALED.BA,61.12,0.302
59,Banco Comafi S.A.,IVV.BA,36.05,0.194
60,Vanguard Tax-Managed Funds - Vanguard FTSE Developed Markets ETF,VEAD.BA,27.7,0.155
61,VANECK ETF TR CEDEAR EACH 50 RE,SMHD.BA,99.06,0.446
62,"Cisco Systems, Inc.",CSCOD.BA,98.36,0.445
63,ISHARES TRUST CEDEAR EACH 10 RE,IWMD.BA,29.31,0.165
64,Taiwan Semiconductor Manufacturing Company Limited,TSMD.BA,60.58,0.307
65,Medtronic plc,MDTD.BA,52.26,0.272
66,"Roku, Inc.",ROKU.BA,81.84,0.39
67,ASML Holding N.V.,ASMLD.BA,107.17,0.479
68,ISHARES INC CEDEAR EACH 14 REPR,EWJ.BA,27.2,0.156
69,VANECK ETF TR CEDEAR EACH 50 RE,SMH.BA,103.31,0.469
70,The Walt Disney Company,DISN.BA,0.0,0.0
71,A3 Mercados S.A.,A3.BA,13.0,0.079
72,ASML Holding N.V.,ASML.BA,113.45,0.506
73,"Fomento Económico Mexicano, S.A.B. de C.V.",FMX.BA,31.89,0.183
74,INVESCO EXCHANGE TRADED FD TR C,SPHQD.BA,28.63,0.167
75,Eli Lilly and Company,LLYD.BA,71.26,0.362
76,Bunge Global SA,BNG.BA,65.31,0.339
77,Taiwan Semiconductor Manufacturing Company Limited,TSM.BA,70.19,0.359
78,STATE ST SPDR DOW JONES INDL CE,DIAD.BA,19.23,0.117
79,Realty Income Corporation,OD.BA,18.11,0.111
80,eBay Inc.,EBAYD.BA,30.48,0.179
81,SPDR Dow Jones Industrial Average ETF Trust,DIA.BA,22.62,0.138
82,Eli Lilly and Company,LLY.BA,74.87,0.386
83,VANGUARD SPECIALIZED FUNDS CEDE,VIGD.BA,14.94,0.095
84,Ambev S.A.,ABEV3.BA,44.17,0.253
85,Ambev S.A.,ABEV.BA,40.34,0.234
86,"Cardinal Health, Inc.",CAH.BA,71.52,0.379
87,Apple Inc.,AAPL.BA,34.71,0.208
88,iShares Trust - iShares Russell 2000 ETF,IWM.BA,31.12,0.189
89,Ultrapar Participações S.A.,UGP.BA,90.51,0.459
90,iShares Trust - iShares MSCI ACWI ETF,ACWI.BA,23.16,0.146
91,ISHARES TRUST CEDEAR EACH 12 RE,IJHD.BA,19.74,0.127
92,"iShares, Inc. - iShares MSCI Emerging Markets ETF",EEM.BA,36.26,0.22
93,Caterpillar Inc.,CATD.BA,101.06,0.506
94,Caterpillar Inc.,CAT.BA,105.31,0.524
95,"Analog Devices, Inc.",ADI.BA,69.41,0.381
96,iShares Trust - iShares Core MSCI Europe ETF,IEUR.BA,20.59,0.135
97,ISHARES TRUST CEDEAR EACH 5 REP,EEMD.BA,33.31,0.211
98,Honeywell International Inc.,HOND.BA,72.58,0.407
99,SPDR S&P 500 ETF Trust,SPYD.BA,19.82,0.133
100,Bunge Global SA,BNGD.BA,66.01,0.378
101,"Delta Air Lines, Inc.",DAL.BA,59.79,0.352
102,Petróleo Brasileiro S.A. - Petrobras,PBRD.BA,96.15,0.512
103,Deere & Company,DE.BA,62.37,0.366
104,ISHARES TRUST CEDEAR EACH 12 RE,IJH.BA,23.01,0.155
105,Deere & Company,DED.BA,57.48,0.345
106,SPDR S&P 500 ETF Trust,SPY.BA,23.08,0.157
107,Ishares Inc.,IEMG.BA,33.77,0.222
108,INVESCO EXCHANGE TRADED FD TR C,SPHQ.BA,28.84,0.193
109,"Palo Alto Networks, Inc.",PANW.BA,149.48,0.72
110,Lloyds Banking Group plc,LYG.BA,43.25,0.277
111,U.S. Bancorp,USB.BA,39.94,0.259
112,Shell plc,SHEL.BA,40.45,0.264
113,Chevron Corporation,CVXD.BA,50.6,0.319
114,WEG S.A.,WEGE3.BA,35.34,0.237
115,UNITED STATES OIL FUND LP CEDEA,USO.BA,134.74,0.687
116,FedEx Corporation,FDX.BA,59.23,0.369
117,RTX Corporation,RTX.BA,35.02,0.236
118,ISHARES TRUST CEDEAR EACH 18 RE,EFAD.BA,19.61,0.141
119,Citigroup Inc.,C.BA,43.67,0.289
120,Chevron Corporation,CVX.BA,46.95,0.307
121,Apple Inc.,AAPLD.BA,33.05,0.228
122,Gerdau S.A.,GGB.BA,76.57,0.46
123,The Bank of New York Mellon Corporation,BNY.BA,26.0,0.189
124,Petróleo Brasileiro S.A. - Petrobras,PETR3.BA,88.2,0.526
125,CVS Health Corporation,CVS.BA,45.22,0.308
126,ISHARES INC CEDEAR EACH 14 REPR,EWJD.BA,23.6,0.174
127,"Palo Alto Networks, Inc.",PANWD.BA,138.04,0.736
128,PACCAR Inc,PCAR.BA,38.88,0.276
129,Thermo Fisher Scientific Inc.,TMO.BA,40.0,0.287
130,Newmont Corporation,NEM.BA,77.29,0.494
131,Starbucks Corporation,SBUXD.BA,38.32,0.277
132,SELECT SECTOR SPDR TRUST CEDEAR,XLBD.BA,21.47,0.166
133,Hecla Mining Company,HL.BA,112.83,0.66
134,Arcos Dorados Holdings Inc.,ARCO.BA,26.72,0.203
135,GSK plc,GSK.BA,24.46,0.187
136,Central Costanera S.A.,CECO2.BA,66.64,0.444
137,Starbucks Corporation,SBUX.BA,37.63,0.279
138,Novartis AG,NVS.BA,28.77,0.223
139,Barclays PLC,BCS.BA,43.28,0.319
140,iShares Trust - iShares MSCI ACWI ETF,ACWID.BA,21.82,0.175
141,Pitney Bowes Inc.,PBI.BA,80.94,0.535
142,SELECT SECTOR SPDR TRUST CEDEAR,XLKD.BA,45.49,0.335
143,Alphabet Inc.,GOOGL.BA,62.71,0.443
144,iShares Trust - iShares Core MSCI Europe ETF,IEURD.BA,18.27,0.152
145,"Invesco QQQ Trust, Series 1",QQQ.BA,29.68,0.239
146,CVS Health Corporation,CVSD.BA,39.19,0.306
147,Barrick Mining Corporation,B.BA,63.77,0.462
148,DIREXION SHARES ETF TRUST CEDEA,SPXLD.BA,51.95,0.392
149,Verizon Communications Inc.,VZD.BA,30.96,0.251
150,Alphabet Inc.,GOGLD.BA,58.95,0.436
151,Newmont Corporation,NEMD.BA,80.66,0.561
152,INVESCO QQQ TRUST CEDEAR EACH 2,QQQD.BA,25.67,0.214
153,Howmet Aerospace Inc.,HWM.BA,40.04,0.322
154,Philip Morris International Inc.,PM.BA,29.97,0.251
155,Weibo Corporation,WBO.BA,0.01,0.0
156,ISHARES INC CEDEAR EACH 50 REP ,EWY.BA,103.5,0.704
157,FIRST TRUST EXCH TRADED FUND 2 ,CIBR.BA,48.48,0.387
158,ISHARES SILVER TRUST CEDEAR EAC,SLV.BA,71.89,0.535
159,DIREXION SHARES ETF TRUST CEDEA,SPXL.BA,56.63,0.445
160,FIRST TRUST EXCH TRADED FUND 2 ,CIBRD.BA,44.21,0.362
161,AbbVie Inc.,ABBVD.BA,24.79,0.222
162,iShares Trust - iShares S&P 500 Growth ETF,IVW.BA,23.94,0.215
163,iShares Trust - iShares S&P 500 Growth ETF,IVWD.BA,20.51,0.191
164,BP p.l.c.,BPD.BA,39.57,0.346
165,Pfizer Inc.,PFED.BA,26.16,0.24
166,Telefonaktiebolaget LM Ericsson (publ),ERIC.BA,34.8,0.314
167,Texas Instruments Incorporated,TXN.BA,73.37,0.586
168,ISHARES SILVER TRUST CEDEAR EAC,SLVD.BA,67.98,0.552
169,"iShares, Inc. - iShares MSCI Brazil ETF",EWZ.BA,26.19,0.246
170,Dow Inc.,DOWD.BA,64.84,0.538
171,SELECT SECTOR SPDR TRUST CEDEAR,XLID.BA,19.45,0.19
172,Banco Comafi S.A.,IVVD.BA,19.31,0.189
173,Occidental Petroleum Corporation,OXY.BA,47.51,0.424
174,Itaú Unibanco Holding S.A.,ITUB3.BA,44.43,0.405
175,NVIDIA Corporation,NVDA.BA,29.4,0.286
176,BP p.l.c.,BP.BA,40.88,0.382
177,SPDR GOLD TRUST GDR EACH REPR 5,GLD.BA,23.93,0.238
178,Pan American Silver Corp.,PAAS.BA,64.72,0.567
179,"Hims & Hers Health, Inc.",HIMSD.BA,113.84,0.888
180,Hecla Mining Company,HLD.BA,87.75,0.734
181,Occidental Petroleum Corporation,OXYD.BA,42.22,0.417
182,Snap-on Incorporated,SNA.BA,19.25,0.209
183,Adecoagro S.A.,ADGO.BA,96.72,0.826
184,Halliburton Company,HALD.BA,28.37,0.302
185,Adecoagro S.A.,ADGOD.BA,106.31,0.896
186,NVIDIA Corporation,NVDAD.BA,25.23,0.274
187,Verizon Communications Inc.,VZ.BA,23.07,0.255
188,eBay Inc.,EBAY.BA,24.0,0.264
189,ISHARES INC CEDEAR 2 REPR 1 ETF,EWZD.BA,23.51,0.26
