Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Nordea Bank Abp,NDA-FI.HE,42.23,0.126,0.579,Yes
2,OMX Helsinki 25,^OMXH25,32.84,0.159,1.0,Yes
3,Alexandria Group Oyj,ALEX.HE,57.0,0.279,0.452,No
4,Wulff-Yhtiöt Oyj,WUF1V.HE,80.72,0.37,0.292,Yes
5,GRK Infra Oyj,GRK.HE,86.41,0.4,0.085,No
6,Evli Oyj,EVLI.HE,39.95,0.214,0.185,Yes
7,Orion Oyj,ORNAV.HE,29.3,0.183,0.617,No
8,Kesko Oyj,KESKOA.HE,30.11,0.191,0.45,Yes
9,Aktia Pankki Oyj,AKTIA.HE,36.57,0.231,0.373,Yes
10,Orion Oyj,ORNBV.HE,29.05,0.19,0.651,No
11,Atria Oyj,ATRAV.HE,31.53,0.205,0.352,Yes
12,Keskisuomalainen Oyj,KSL.HE,38.12,0.243,0.175,Yes
13,Kesko Oyj,KESKOB.HE,36.3,0.234,0.66,Yes
14,Fondia Oyj,FONDIA.HE,24.89,0.167,0.601,Yes
15,Boreo Oyj,BOREO.HE,48.68,0.311,0.273,Yes
16,Vaisala Oyj,VAIAS.HE,38.02,0.254,0.67,Yes
17,Outokumpu Oyj,OUT1V.HE,72.39,0.443,2.046,Yes
18,Fortum Oyj,FORTUM.HE,41.34,0.283,0.495,Yes
19,LapWall Oyj,LAPWALL.HE,21.13,0.157,0.028,Yes
20,AS Tallink Grupp,TALLINK.HE,16.28,0.124,0.595,Yes
21,Telefonaktiebolaget LM Ericsson (publ),ERIBR.HE,66.61,0.43,2.083,Yes
22,Consti Oyj,CONSTI.HE,19.69,0.149,0.119,Yes
23,Finnair Oyj,FIA1S.HE,91.62,0.554,0.927,Yes
24,Tecnotree Oyj,TEM1V.HE,48.82,0.342,0.352,Yes
25,Harvia Oyj,HARVIA.HE,41.65,0.305,0.478,Yes
26,Hiab Oyj,HIAB.HE,45.02,0.329,1.007,Yes
27,Raute Oyj,RAUTE.HE,11.64,0.123,0.143,Yes
28,Fiskars Oyj Abp,FSKRS.HE,23.31,0.246,1.339,Yes
