Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,TwentyFour Select Monthly Income Fund Limited,SMIFL.XC,0.08,0.0,0.0,Yes
2,Danske Bank A/S,0NVC.IL,56.03,0.077,0.146,Yes
3,Kuehne + Nagel International AG,0QMW.IL,59.93,0.082,0.03,No
4,Luzerner Kantonalbank AG,LUKNZ.XC,52.52,0.079,0.058,Yes
5,AIB Group plc,AIBGL.XC,66.4,0.101,0.41,No
6,Swedbank AB (publ),SWEDAS.XC,52.0,0.097,0.09,Yes
7,Svenska Handelsbanken AB (publ),0R7R.IL,43.24,0.083,0.381,Yes
8,iShares Physical Gold ETC,SGLNL.XC,113.15,0.179,0.033,Yes
9,Orange Belgium S.A.,0FBS.IL,19.09,0.042,0.007,Yes
10,"Banco Santander, S.A.",BNCL.XC,36.62,0.077,,
11,Tufton Assets Limited,SHIP.L,33.51,0.072,0.098,Yes
12,New Star Investment Trust Ord,NSI.L,24.31,0.056,0.239,Yes
13,Svenska Handelsbanken AB (publ),SHBAS.XC,43.27,0.095,0.332,Yes
14,Danske Bank A/S,DANSKC.XC,54.13,0.116,0.4,Yes
15,Swedbank AB (publ),0H6T.IL,51.29,0.111,0.037,Yes
16,Costain Group PLC,COST.L,81.36,0.168,0.749,Yes
17,Jyske Bank A/S,0MGD.IL,64.86,0.144,0.859,Yes
18,Georgia Capital PLC,CGEOL.XC,102.47,0.205,0.529,Yes
19,BlackRock American Income Trust Ord,BRAI.L,34.76,0.086,0.45,Yes
20,Keller Group plc,KLR.L,117.93,0.229,1.383,Yes
21,Georgia Capital PLC,CGEO.L,96.18,0.202,0.633,Yes
22,Keller Group plc,KLRL.XC,116.29,0.235,1.405,Yes
23,ATC Music Group plc,ATC.L,71.13,0.167,0.211,Yes
24,Costain Group PLC,COSTL.XC,81.93,0.189,1.003,Yes
25,SSAB AB (publ),SSABBS.XC,117.94,0.25,1.198,Yes
26,Octave Intelligence plc,OCTVS.XC,94.23,0.226,0.87,Yes
27,ageas SA/NV,0Q99.IL,39.96,0.114,0.311,Yes
28,Investor AB (publ),INVEBS.XC,57.39,0.155,1.114,Yes
29,JCDecaux SE,0MGO.IL,72.8,0.189,0.314,Yes
30,"CaixaBank, S.A.",0ILK.IL,61.59,0.166,0.061,Yes
31,SSAB AB (publ),0MHZ.IL,116.04,0.27,1.218,Yes
32,"CaixaBank, S.A.",CABKE.XC,64.32,0.173,0.023,Yes
33,EVN AG,0EEI.IL,30.86,0.096,0.495,Yes
34,Gore Street Energy Storage Fund Plc,GSFL.XC,0.15,0.001,0.001,No
35,ASR Nederland N.V.,0RHS.IL,36.62,0.112,0.297,Yes
36,"Sonae, SGPS, S.A.",0ML0.IL,64.31,0.182,1.222,Yes
37,SSAB AB (publ),0KII.IL,106.68,0.272,1.209,Yes
38,WisdomTree Broad Commodities,AGCPL.XC,48.66,0.147,0.229,No
39,"Banco Comercial Português, S.A.",0RJN.IL,62.76,0.181,0.343,Yes
40,Balfour Beatty plc,BBY.L,41.68,0.129,0.339,Yes
41,Emmi AG,EMMNZ.XC,30.76,0.1,0.148,Yes
42,Walliser Kantonalbank,WKBNZ.XC,30.14,0.098,0.317,No
43,WisdomTree Zinc,ZINC.L,42.14,0.134,0.209,Yes
44,Man Group Plc,EMGL.XC,86.05,0.239,1.031,Yes
45,Swedish Orphan Biovitrum AB (publ),0MTD.IL,74.97,0.216,1.193,Yes
46,"Logista Integral, S.A.",0QWA.IL,37.23,0.122,0.598,Yes
47,Berner Kantonalbank AG,BEKNZ.XC,67.47,0.2,0.335,Yes
48,Balfour Beatty plc,BBYL.XC,40.09,0.13,0.376,Yes
49,"Banco Bilbao Vizcaya Argentaria, S.A.",BBVAE.XC,71.55,0.211,0.508,Yes
50,Man Group Plc,EMG.L,86.66,0.245,1.127,Yes
51,Storebrand ASA,0NO0.IL,45.04,0.146,0.792,Yes
52,Bristol-Myers Squibb Company,0R1F.IL,64.76,0.198,0.913,Yes
53,Invesco Physical Markets plc - Invesco Physical Gold II ETC,GOLD.L,116.41,0.311,,
54,St. Galler Kantonalbank AG,SGKNZ.XC,37.06,0.125,0.035,Yes
55,"Endesa, S.A.",0N9G.IL,74.37,0.224,0.742,Yes
56,NN Group N.V.,0QVV.IL,42.52,0.143,0.566,Yes
57,RTW Biotech Opportunities Ltd,RTW.L,74.87,0.228,0.581,Yes
58,Cloetta AB (publ),0N7X.IL,89.15,0.261,1.1,Yes
59,RTW Biotech Opportunities Ltd,RTWL.XC,75.7,0.23,0.48,Yes
60,Greencoat Renewables PLC,GRPL.XC,10.41,0.04,0.021,Yes
61,Personal Assets Trust plc,PNLL.XC,0.01,0.0,0.0,No
62,Foresight Solar Fund Limited,FSFLL.XC,0.11,0.0,0.001,Yes
63,GCP Infrastructure Investments Limited,GCPL.XC,0.11,0.0,0.0,Yes
64,The Renewables Infrastructure Group Limited,TRIGL.XC,0.09,0.0,0.0,Yes
65,JPMorgan China Growth & Income plc,JCGIL.XC,0.07,0.0,0.001,Yes
66,Sequoia Economic Infrastructure Income Fund Limited,SEQIL.XC,0.1,0.0,0.001,Yes
67,AEW UK REIT plc,AEWUL.XC,0.09,0.0,0.001,Yes
68,Invesco Bond Income Plus Ltd,BIPSL.XC,0.08,0.0,0.001,Yes
69,Target Healthcare REIT PLC,THRLL.XC,0.08,0.0,0.0,Yes
