Rank,Name,Ticker,Return (%),Risk
1,Design Capital Limited,1545.HK,114.93,0.279
2,S.A.S. Dragon Holdings Limited,1184.HK,120.94,0.291
3,AEON Credit Service (Asia) Company Limited,0900.HK,37.63,0.12
4,CLP Holdings Limited,0002.HK,29.79,0.098
5,Tradelink Electronic Commerce Limited,0536.HK,23.94,0.091
6,"Biocytogen Pharmaceuticals (Beijing) Co., Ltd.",2315.HK,121.69,0.357
7,Migao Group Holdings Limited,9879.HK,51.66,0.185
8,SiS Mobile Holdings Limited,1362.HK,108.7,0.338
9,Anhui Expressway Company Limited,0995.HK,51.96,0.204
10,Get Nice Holdings Limited,0064.HK,34.23,0.147
11,Sinotruk (Hong Kong) Limited,3808.HK,98.18,0.361
12,Water Oasis Group Limited,1161.HK,62.23,0.254
13,Industrial and Commercial Bank of China Limited,1398.HK,45.62,0.198
14,Swire Pacific Limited,0019.HK,81.43,0.322
15,Peiport Holdings Ltd.,2885.HK,44.93,0.202
16,HSBC Holdings plc,0005.HK,65.5,0.279
17,S.A.I. Leisure Group Company Limited,1832.HK,120.49,0.445
18,Ocean Line Port Development Limited,8502.HK,40.69,0.192
19,Manulife Financial Corporation,0945.HK,47.23,0.219
20,Soft International Group Ltd.,2569.HK,93.64,0.387
21,Yip's Chemical Holdings Limited,0408.HK,54.39,0.258
22,"Cofoe Medical Technology Co.,Ltd.",1187.HK,77.68,0.346
23,BOC Hong Kong (Holdings) Limited,2388.HK,61.41,0.288
24,Tailam Tech Construction Holdings Limited,6193.HK,114.13,0.469
25,CK Infrastructure Holdings Limited,1038.HK,37.03,0.192
26,Jiujiuwang Food International Limited,1927.HK,112.57,0.473
27,Jiangsu Innovative Ecological New Materials Limited,2116.HK,64.93,0.314
28,"Shenzhen SDMC Technology Co., Ltd.",0901.HK,113.34,0.482
29,TCL Electronics Holdings Limited,1070.HK,84.75,0.391
30,Power Assets Holdings Limited,0006.HK,30.42,0.167
31,Legion Consortium Limited,2129.HK,97.66,0.438
32,Standard Chartered PLC,2888.HK,69.81,0.343
33,Dickson Concepts (International) Limited,0113.HK,28.25,0.159
34,Sa Sa International Holdings Limited,0178.HK,86.75,0.411
35,Kwung's Aroma Holdings Limited,1925.HK,39.82,0.218
36,China Renewable Energy Investment Limited,0987.HK,76.28,0.373
37,Huishang Bank Corporation Limited,3698.HK,79.45,0.393
38,China CBM Group Company Limited,8270.HK,104.37,0.485
39,Jilin Province Huinan Changlong Bio-pharmacy Company Limited,8049.HK,24.72,0.148
40,Sunray Engineering Group Limited,8616.HK,110.42,0.515
41,Guangdong Investment Limited,0270.HK,40.21,0.23
42,Ares Asia Limited,0645.HK,61.85,0.333
43,Cathay Pacific Airways Limited,0293.HK,57.01,0.314
44,Come Sure Group (Holdings) Limited,0794.HK,95.02,0.475
45,Natural Food International Holding Limited,1837.HK,96.71,0.491
46,BOC Hong Kong (Holdings) Limited,82388.HK,48.87,0.285
47,AB Builders Group Limited,1615.HK,95.09,0.487
48,Hygieia Group Limited,1650.HK,76.43,0.414
49,Oi Wah Pawnshop Credit Holdings Limited,1319.HK,30.11,0.191
50,CK Hutchison Holdings Limited,0001.HK,50.81,0.301
51,China Merchants China Direct Investments Limited,0133.HK,84.56,0.457
52,"Fast Retailing Co., Ltd.",6288.HK,67.92,0.388
53,Buyang International Holding Inc,2457.HK,59.13,0.348
54,"Huaqin Co., Ltd.",3296.HK,103.33,0.538
55,"Henan Jinyuan Hydrogenated Chemicals Co., Ltd.",2502.HK,91.46,0.492
56,Swire Pacific Limited,0087.HK,44.13,0.275
57,Tysan Holdings Limited,0687.HK,20.29,0.139
58,Angelalign Technology Inc.,6699.HK,70.69,0.41
59,"Bank of Gansu Co., Ltd.",2139.HK,68.82,0.403
60,Yinsheng Digifavor Company Limited,3773.HK,78.41,0.451
61,Kinetic Development Group Limited,1277.HK,116.28,0.607
62,Dah Sing Banking Group Limited,2356.HK,69.8,0.414
63,PetroChina Company Limited,0857.HK,64.31,0.39
64,Herald Holdings Limited,0114.HK,30.27,0.207
65,China Shenhua Energy Company Limited,1088.HK,39.35,0.264
66,Yuanda China Holdings Limited,2789.HK,80.75,0.484
67,"Meihao Medical Group Co., Ltd",1947.HK,75.36,0.46
68,Progressive Path Group Holdings Limited,1581.HK,114.41,0.631
69,KOS International Talent Group Limited,8042.HK,117.39,0.643
70,Ausupreme International Holdings Limited,2031.HK,57.08,0.37
71,MS Group Holdings Limited,1451.HK,72.56,0.455
72,Coolpoint Innonism Holding Limited,8040.HK,103.17,0.596
73,China CITIC Bank Corporation Limited,0998.HK,40.08,0.281
74,New Media Lab Limited,1284.HK,48.03,0.328
75,China XLX Fertiliser Ltd.,1866.HK,63.88,0.425
76,Hutchison Telecommunications Hong Kong Holdings Limited,0215.HK,11.09,0.089
77,Kowloon Development Company Limited,0034.HK,46.95,0.332
78,CSSC (Hong Kong) Shipping Company Limited,3877.HK,37.98,0.279
79,Public Financial Holdings Limited,0626.HK,44.32,0.321
80,Top Education Group Ltd,1752.HK,44.92,0.327
81,China Mengniu Dairy Company Limited,2319.HK,30.95,0.24
82,Kato (Hong Kong) Holdings Limited,2189.HK,14.47,0.121
83,Tingyi (Cayman Islands) Holding Corp.,0322.HK,42.4,0.321
84,China PengFei Group Limited,3348.HK,32.02,0.254
85,Numans Health Food Holdings Company Limited,2530.HK,31.74,0.254
86,Sun Hing Printing Holdings Limited,1975.HK,33.81,0.269
87,Ying Kee Tea House Group Limited,8241.HK,82.48,0.572
88,CNOOC Limited,0883.HK,49.26,0.379
89,Dah Sing Financial Holdings Limited,0440.HK,51.93,0.397
90,Techtronic Industries Company Limited,0669.HK,52.04,0.399
91,Agricultural Bank of China Limited,1288.HK,33.8,0.278
92,China Life Insurance Company Limited,2628.HK,61.52,0.462
93,Le Saunda Holdings Limited,0738.HK,60.51,0.458
94,"Shandong Extreme Vision Technology Co., Ltd.",6636.HK,109.64,0.725
95,Vedan International (Holdings) Limited,2317.HK,21.07,0.183
96,Wharf Real Estate Investment Company Limited,1997.HK,61.36,0.464
97,MTR Corporation Limited,0066.HK,35.66,0.295
98,Sau San Tong Holdings Limited,8200.HK,46.06,0.368
99,Success Dragon International Holdings Limited,1182.HK,65.7,0.493
100,Fu Shek Financial Holdings Limited,2263.HK,35.31,0.295
101,Ying Hai Group Holdings Company Limited,8668.HK,38.9,0.325
102,Yankuang Energy Group Company Limited,1171.HK,61.26,0.476
103,Denox Environmental & Technology Holdings Limited,1452.HK,83.93,0.611
104,A & S Group (Holdings) Limited,1737.HK,67.41,0.522
105,Edianyun Limited,2416.HK,85.63,0.63
106,Huisheng International Holdings Limited,1340.HK,50.36,0.414
107,CITIC Resources Holdings Limited,1205.HK,44.02,0.37
108,Chengdu SIWI Science and Technology Company Limited,1202.HK,117.57,0.803
109,Yihai International Holding Ltd.,1579.HK,41.94,0.359
110,Star Shine Holdings Group Limited,1440.HK,87.47,0.657
111,China Taiping Insurance Holdings Company Limited,0966.HK,76.18,0.59
112,Asia Commercial Holdings Limited,0104.HK,12.91,0.125
113,One Media Group Limited,0426.HK,120.16,0.844
114,Hongkong Chinese Limited,0655.HK,57.26,0.482
115,Swang Chai Chuan Limited,2321.HK,24.25,0.23
116,CK Asset Holdings Limited,1113.HK,30.39,0.282
117,Moiselle International Holdings Limited,0130.HK,41.4,0.37
118,Bar Pacific Group Holdings Limited,8432.HK,68.22,0.562
119,Mediwelcome Healthcare Management & Technology Inc.,2159.HK,64.87,0.54
120,HK Electric Investments and HK Electric Investments Limited,2638.HK,14.12,0.141
121,Green International Holdings Limited,2700.HK,22.76,0.22
122,First Tractor Company Limited,0038.HK,60.52,0.514
123,Perfect Optronics Limited,8311.HK,122.93,0.892
124,"Vigonvita Life Sciences Co., Ltd.",2630.HK,105.87,0.803
125,Helens International Holdings Company Limited,9869.HK,72.41,0.604
126,China Coal Energy Company Limited,1898.HK,51.41,0.458
127,Mobicon Group Limited,1213.HK,65.26,0.559
128,Lee & Man Paper Manufacturing Limited,2314.HK,66.97,0.571
129,"Fujian Haixi Pharmaceuticals Co., Ltd.",2637.HK,117.85,0.882
130,TS Wonders Holding Limited,1767.HK,17.67,0.181
131,China Oriented International Holdings Limited,1871.HK,54.88,0.493
132,Shenzhen Investment Holdings Bay Area Development Company Limited,0737.HK,12.9,0.135
133,CNOOC Limited,80883.HK,39.0,0.371
134,JTF International Holdings Limited,9689.HK,73.38,0.626
135,Zibuyu Group Limited,2420.HK,38.25,0.366
136,Lonking Holdings Limited,3339.HK,37.67,0.363
137,Legend Holdings Corporation,3396.HK,122.75,0.93
138,Wai Kee Holdings Limited,0610.HK,25.59,0.261
139,Orient Overseas (International) Limited,0316.HK,37.18,0.365
140,Energy International Investments Holdings Limited,0353.HK,30.03,0.304
141,World-Link Logistics (Asia) Holding Limited,6083.HK,81.62,0.703
