Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,PT FAP Agri Tbk,FAPA.JK,26.04,0.092,0.158,No
2,PT Alamtri Resources Indonesia Tbk,ADRO.JK,110.08,0.309,0.307,Yes
3,PT Unggul Indah Cahaya Tbk,UNIC.JK,103.68,0.353,0.149,Yes
4,PT Panin Sekuritas Tbk,PANS.JK,37.23,0.168,0.06,Yes
5,PT Mitra Pinasthika Mustika Tbk,MPMX.JK,33.87,0.179,0.012,No
6,PT Millennium Pharmacon International Tbk,SDPC.JK,59.34,0.289,0.252,Yes
7,PT Asuransi Multi Artha Guna Tbk,AMAG.JK,18.31,0.106,0.014,No
8,PT Alkindo Naratama Tbk,ALDO.JK,131.99,0.546,0.759,Yes
9,PT Asuransi Tugu Pratama Indonesia Tbk,TUGU.JK,59.79,0.333,0.755,Yes
10,PT Inter Delta Tbk,INTD.JK,57.4,0.348,0.819,Yes
11,PT Bank Pembangunan Daerah Jawa Timur Tbk,BJTM.JK,16.13,0.116,0.227,Yes
12,PT Adaro Andalan Indonesia Tbk,AADI.JK,95.73,0.536,0.59,Yes
13,PT Alamtri Minerals Indonesia Tbk,ADMR.JK,107.13,0.592,1.154,Yes
14,PT Panca Budi Idaman Tbk,PBID.JK,23.59,0.169,0.203,Yes
15,PT Multi Spunindo Jaya Tbk,MSJA.JK,69.38,0.463,0.777,Yes
16,PT Capital Financial Indonesia Tbk,CASA.JK,83.78,0.538,0.131,Yes
17,PT Merck Tbk,MERK.JK,60.43,0.418,0.532,Yes
18,PT Bank Pembangunan Daerah Jawa Barat dan Banten Tbk,BJBR.JK,16.5,0.136,0.022,No
19,PT Mitra Pedagang Indonesia Tbk,MPIX.JK,73.44,0.5,0.297,Yes
20,PT Indosat Tbk,ISAT.JK,74.62,0.531,1.089,Yes
21,PT Diagnos Laboratorium Utama Tbk,DGNS.JK,106.09,0.697,0.469,Yes
22,PT Fore Kopi Indonesia Tbk,FORE.JK,110.91,0.725,0.485,Yes
23,PT Elnusa Tbk,ELSA.JK,94.14,0.654,1.468,Yes
24,PT Madusari Murni Indah Tbk,MOLI.JK,74.57,0.563,0.949,Yes
