Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Edelweiss Nifty 1D Rate Liquid ETF - Growth,ELIQUID.NS,5.01,0.001,0.001,Yes
2,Kotak Mahindra Mutual Fund - Kotak Nifty 1d Rate Liquid Etf,LIQUID1.NS,5.07,0.001,0.002,Yes
3,DSP S&P BSE Liquid Rate ETF,LIQUIDADD.NS,4.96,0.001,0.001,Yes
4,Mirae Asset Nifty 1D Rate Liquid ETF-Growth,LIQUIDPLUS.NS,5.04,0.001,0.001,Yes
5,Shriram Nifty 1D Rate Liquid ETF,LIQUIDSHRI.NS,4.77,0.001,0.002,Yes
6,Zerodha Nifty 1D Rate Liquid ETF,LIQUIDCASE.NS,4.98,0.001,0.002,Yes
7,HDFC Nifty 1D Rate Liquid ETF - Growth,HDFCLIQUID.NS,4.88,0.001,0.001,Yes
8,Bajaj Nifty 1D Rate Liquid ETF - Growth,LIQUIDBETF.NS,4.87,0.001,0.002,Yes
9,Angel One Nifty 1D Rate Liquid ETF - Growth,AONELIQUID.NS,5.02,0.001,0.001,Yes
10,Groww Nifty 1D Rate Liquid ETF,GROWWLIQID.NS,4.76,0.001,0.002,Yes
11,Aditya BSL CRISIL Liquid Ovrnght ETF,ABSLLIQUID.NS,3.49,0.002,0.001,Yes
12,SBI Nifty Midcap 150 ETF,SBINMID150.NS,21.67,0.027,0.153,No
13,ICICI Prudential Nifty Smallcap 250 ETF,SMALLIETF.NS,26.15,0.032,,
14,Harmony Capital Services Limited,HRMNYCP.BO,61.69,0.07,0.084,No
15,Mirae Asset Nifty 1D Rate Liquid ETF-IDCW,LIQUID.NS,3.94,0.006,0.009,No
16,Groww Nifty Smallcap 250 Momentum Quality 100 ETF,SMALLGROWW.NS,46.23,0.057,,
17,SBI NIFTY 1D Rate Liquid ETF - IDCW,LIQUIDSBI.NS,3.55,0.006,0.013,No
18,SBI Nifty Smallcap 250 ETF,SBISMLETF.NS,39.59,0.059,0.121,No
19,Alchemist Corporation Limited,ALCHCORP.BO,53.31,0.081,0.186,No
20,Shamrock Industrial Company Limited,SHAMROIN.BO,53.23,0.081,0.184,No
21,Tikona Communication Limited,GFSTEELS.BO,52.87,0.08,0.245,No
22,P.M. Telelinnks Limited,PMTELELIN.BO,53.19,0.08,0.185,No
23,Mahan Industries Limited,MAHANIN.BO,52.78,0.08,0.182,No
24,Premium Capital Market and Investment Limited,PREMCAPM.BO,52.81,0.08,0.184,No
25,Tikona Communication Limited,GFSTEELS.NS,52.58,0.082,0.178,No
26,Hexagon Nutrition Limited,HEXAGON.BO,48.83,0.087,,
27,Prabhatam Infra Venture Limited.,PRABHATAM.BO,45.32,0.087,0.253,Yes
28,Cresanto Global Limited,CRESANTO.BO,45.12,0.087,0.093,No
29,Baron Infotech Limited,BARONINF.BO,42.15,0.082,0.22,No
30,Bagmane Prime Office REIT,BAGMANE.BO,19.07,0.04,0.447,No
31,Progrex Ventures Limited,PROGREXV.BO,56.81,0.108,0.052,No
32,Cube Highways Trust,CUBEINVIT.BO,34.85,0.072,0.11,No
33,Hexagon Nutrition Limited,HEXAGON.NS,44.51,0.092,,
34,Altius Telecom Infrastructure Trust,ALTIUSINVIT.BO,36.81,0.081,0.221,Yes
35,DSP NIFTY 1D Rate Liquid ETF,LIQUIDETF.NS,2.25,0.006,0.016,No
36,Aurobindo Pharma Limited,AUROPHARMA.NS,66.69,0.147,0.069,Yes
37,Raajmarg Infra Investment Trust,RIIT.BO,33.13,0.082,0.25,No
38,Aayush Art and Bullion Limited,AAYUSHBULL.BO,31.74,0.083,0.079,Yes
39,Property Share Investment Trust,PSPLATINA.BO,22.47,0.063,0.23,Yes
40,Tacent Projects Limited,TACENT.BO,54.16,0.139,0.05,Yes
41,Indus Infra Trust,INDUSINVIT.BO,33.97,0.094,0.287,Yes
42,Signature Green Corporation Limited,SIGNGCL.BO,69.77,0.182,0.22,Yes
43,Anzen India Energy Yield Plus Trust,ANZEN.BO,29.04,0.089,0.209,No
44,Granules India Limited,GRANULES.NS,70.17,0.189,0.253,Yes
45,Omkar Overseas Limited,OMKAR.BO,38.04,0.115,0.328,No
46,Navin Fluorine International Limited,NAVINFLUOR.NS,104.52,0.259,0.768,Yes
47,Navin Fluorine International Limited,NAVINFLUOR.BO,104.9,0.264,0.797,Yes
