Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Channel Infrastructure NZ Limited,CHI.NZ,37.55,0.113,0.139,No
2,Smart NZ Cash ETF,NZC.NZ,1.77,0.007,0.005,No
3,Skellerup Holdings Limited,SKL.NZ,63.63,0.241,2.083,Yes
4,Smart Australian Resources ETF,ASR.NZ,57.06,0.228,1.076,Yes
5,Heartland Group Holdings Limited,HGH.NZ,30.08,0.138,1.095,Yes
6,Smart US Large Value ETF,USV.NZ,23.4,0.119,0.677,Yes
7,Henderson Far East Income Limited,HFL.NZ,41.39,0.207,0.001,Yes
8,Smart Australian ESG ET,AUE.NZ,17.62,0.098,0.866,Yes
9,Fonterra Shareholders Fund,FSF.NZ,28.76,0.154,0.064,No
10,Smart Asia Pacific ETF,APA.NZ,36.56,0.2,1.592,Yes
11,Smart Europe ETF,EUF.NZ,17.63,0.108,0.985,Yes
12,Smart Healthcare Innovation ETF,LIV.NZ,33.2,0.193,1.304,Yes
13,Livestock Improvement Corporation Limited,LIC.NZ,29.08,0.177,0.014,No
14,Smart Europe ESG ETF,EUG.NZ,17.78,0.116,1.157,Yes
15,Smart Global Infrastructure ETF,INF.NZ,28.45,0.183,0.872,Yes
16,Smart Japan ESG ETF,JPN.NZ,23.04,0.153,1.408,Yes
17,Smart Global Government Bond ETF,GGB.NZ,33.58,0.218,1.116,Yes
18,Smart US Small Cap ETF,USS.NZ,19.51,0.134,0.763,Yes
19,Smart Global Property ETF,GPR.NZ,36.43,0.245,1.565,Yes
20,Smart Total World ETF,TWF.NZ,17.24,0.125,0.926,Yes
21,Fonterra Co-operative Group Limited,FCG.NZ,22.86,0.165,0.01,No
22,Smart Australian Top 200 ETF,AUS.NZ,14.17,0.109,0.945,Yes
23,Bankers Ord,BIT.NZ,19.72,0.152,0.892,Yes
24,Smart Emerging Markets ESG ETF,EMG.NZ,30.67,0.228,1.512,Yes
25,Smart Australian Top 20 ETF,OZY.NZ,18.35,0.143,0.859,Yes
26,Australian Foundation Investment Company Limited,AFI.NZ,3.63,0.03,0.093,Yes
27,F&C Investment Trust PLC,FCT.NZ,24.53,0.188,0.966,Yes
28,Smart Automation and Robotics ETF,BOT.NZ,43.18,0.314,1.825,Yes
29,Smart Total World (NZD Hedged) ETF,TWH.NZ,18.78,0.151,1.089,Yes
30,Templeton Emerging Markets Investment Trust plc,TEM.NZ,46.03,0.342,2.42,Yes
31,My Food Bag Group Limited,MFB.NZ,56.55,0.411,0.652,Yes
32,Smart Global ESG ETF,ESG.NZ,17.29,0.151,0.996,Yes
33,Smart US 500 ETF,USF.NZ,14.76,0.134,0.669,Yes
34,Smart US Mid Cap ETF,USM.NZ,12.11,0.114,0.654,Yes
35,Smart US 500 (NZD Hedged) ETF,USH.NZ,16.61,0.154,0.951,Yes
