Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Dogu Aras Enerji Yatirimlari AS,ARASE.IS,150.22,0.266,0.39,Yes
2,Özsu Balik Üretim Anonim Sirketi,OZSUB.IS,174.99,0.351,0.48,Yes
3,Euro Kapital Yatirim Ortakligi Anonim Sirketi,EUKYO.IS,169.11,0.437,0.296,No
4,Mobiltel Iletisim Hizmetleri Sanayi ve Ticaret A.S.,MOBTL.IS,110.5,0.37,0.026,No
5,Ayes Celik Hasir Ve Cit Sanayi A.S.,AYES.IS,149.57,0.481,0.023,No
6,Akçansa Çimento Sanayi ve Ticaret Anonim Sirketi,AKCNS.IS,95.33,0.351,0.594,Yes
7,Reysas Tasimacilik ve Lojistik Ticaret A.S.,RYSAS.IS,126.31,0.431,1.075,Yes
8,BIM Birlesik Magazalar A.S.,BIMAS.IS,61.84,0.251,0.674,Yes
9,Panora Gayrimenkul Yatirim Ortakligi A.S.,PAGYO.IS,105.69,0.383,0.233,No
10,Orge Enerji Elektrik Taahhüt Anonim Sirketi,ORGE.IS,87.11,0.341,0.568,Yes
11,VBT Yazilim Anonim Sirketi,VBTYZ.IS,127.91,0.458,0.539,Yes
12,Forte Bilgi Iletisim Teknolojileri ve Savunma Sanayi A.S.,FORTE.IS,83.87,0.336,0.273,No
13,Vanet Gida Sanayi Iç Ve Dis Ticaret Anonim Sirketi,VANGD.IS,138.76,0.498,0.864,Yes
14,Kardemir Karabük Demir Çelik Sanayi Ve Ticaret A.S.,KRDMD.IS,83.73,0.353,0.837,Yes
15,AgeSA Hayat ve Emeklilik Anonim Sirketi,AGESA.IS,56.18,0.257,0.417,Yes
16,Mogan Enerji Yatirim Holding Anonim Sirketi,MOGAN.IS,125.69,0.478,0.274,No
17,Coca-Cola Içecek Anonim Sirketi,CCOLA.IS,83.96,0.358,0.466,Yes
18,CW Enerji Mühendislik Ticaret ve Sanayi Anonim Sirketi,CWENE.IS,88.43,0.374,0.947,Yes
19,Ecogreen Enerji Holding Anonim Sirketi,ECOGR.IS,98.98,0.414,0.011,Yes
20,Global Yatirim Holding A.S.,GLYHO.IS,139.22,0.551,0.809,Yes
21,Ronesans Gayrimenkul Yatirim A.S.,RGYAS.IS,58.06,0.29,0.801,Yes
