Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,INVESCO EXCHANGE TRADED FD TR C,RSPD.BA,28.68,0.017,0.05,Yes
2,"Arista Networks, Inc.",ANETD.BA,130.02,0.062,0.202,No
3,INVESCO EXCHANGE TRADED FD TR C,RSP.BA,53.94,0.099,0.13,No
4,Golar LNG Limited,GLNG.BA,56.3,0.108,0.387,No
5,"Banco Santander, S.A.",SAND.BA,96.87,0.186,0.151,No
6,Novartis AG,NVSD.BA,59.03,0.137,,
7,SLB N.V.,SLBD.BA,73.83,0.209,0.018,Yes
8,ConocoPhillips,COP.BA,159.26,0.395,0.128,Yes
9,iShares Trust - iShares Biotechnology ETF,IBBD.BA,50.9,0.185,0.005,No
10,Bank of America Corp,BA-C.BA,0.1,0.0,0.0,No
11,VANGUARD SPECIALIZED FUNDS CEDE,VIGD.BA,21.77,0.089,0.051,No
12,iShares Trust - iShares Core MSCI Europe ETF,IEUR.BA,48.25,0.186,0.065,No
13,"Banco Bilbao Vizcaya Argentaria, S.A.",BBV.BA,115.39,0.379,0.142,Yes
14,Vanguard Tax-Managed Funds - Vanguard FTSE Developed Markets ETF,VEAD.BA,33.15,0.139,0.05,No
15,"Banco Santander, S.A.",SAN.BA,111.79,0.377,0.029,Yes
16,Barclays PLC,BCS.BA,101.74,0.354,0.157,Yes
17,Realty Income Corporation,O.BA,41.55,0.173,0.675,Yes
18,VANECK ETF TR CEDEAR EACH 50 RE,SMH.BA,151.08,0.475,0.001,Yes
19,BHP Group Limited,BHPD.BA,87.05,0.322,0.559,No
20,"Gilead Sciences, Inc.",GILDD.BA,64.5,0.256,0.258,No
21,"Bitmine Immersion Technologies, Inc.",BMNRD.BA,64.1,0.255,,
22,"Mizuho Financial Group, Inc.",MFG.BA,96.17,0.355,0.158,Yes
23,"The Goldman Sachs Group, Inc.",GS.BA,97.06,0.362,0.166,Yes
24,Taiwan Semiconductor Manufacturing Company Limited,TSMD.BA,95.93,0.359,0.057,Yes
25,Taiwan Semiconductor Manufacturing Company Limited,TSM.BA,134.64,0.462,0.153,Yes
26,iShares Trust - iShares S&P 500 Value ETF,IVE.BA,27.64,0.13,0.128,No
27,Freeport-McMoRan Inc.,FCXD.BA,93.92,0.363,0.003,Yes
28,Vale S.A.,VALE3.BA,71.32,0.295,0.04,Yes
29,eBay Inc.,EBAYD.BA,58.09,0.251,0.436,Yes
30,KB Financial Group Inc.,KB.BA,98.22,0.379,0.147,No
31,The Bank of New York Mellon Corporation,BNY.BA,92.55,0.365,0.185,Yes
32,Spotify Technology S.A.,SPOT.BA,106.18,0.404,0.058,Yes
33,SPDR GOLD TRUST GDR EACH REPR 5,GLD.BA,70.36,0.295,0.078,No
34,iShares Trust - iShares Biotechnology ETF,IBB.BA,62.54,0.277,0.04,Yes
35,HSBC Holdings plc,HSBC.BA,83.95,0.349,0.048,Yes
36,JPMorgan Chase & Co.,JPMD.BA,49.57,0.23,0.091,Yes
37,Philip Morris International Inc.,PM.BA,52.8,0.243,0.195,No
38,ISHARES SILVER TRUST CEDEAR EAC,SLV.BA,144.02,0.521,0.165,No
39,ISHARES TRUST CEDEAR EACH 12 RE,IJHD.BA,22.44,0.115,0.052,No
40,Lloyds Banking Group plc,LYG.BA,89.08,0.37,0.095,Yes
41,General Electric Company,GE.BA,96.42,0.395,0.102,Yes
42,VANECK ETF TR CEDEAR EACH 50 RE,SMHD.BA,99.03,0.405,0.047,Yes
43,"Cardinal Health, Inc.",CAH.BA,87.36,0.373,0.26,Yes
44,NVIDIA Corporation,NVDA.BA,144.68,0.539,0.295,Yes
45,Citigroup Inc.,C.BA,101.37,0.418,0.216,Yes
46,Ishares Inc.,IEMG.BA,59.74,0.28,0.121,No
47,DIREXION SHARES ETF TRUST CEDEA,SPXL.BA,111.31,0.453,0.066,No
48,Itaú Unibanco Holding S.A.,ITUB3.BA,77.62,0.347,0.098,No
49,Garmin Ltd.,GRMN.BA,89.2,0.39,0.029,Yes
50,"Mitsubishi UFJ Financial Group, Inc.",MUFG.BA,85.92,0.382,0.111,Yes
51,"Roku, Inc.",ROKU.BA,94.86,0.413,0.028,Yes
52,Banco Comafi S.A.,ESGU.BA,36.81,0.191,0.042,No
53,ING Groep N.V.,ING.BA,89.01,0.395,0.109,Yes
54,iShares Trust - iShares Core MSCI Europe ETF,IEURD.BA,22.43,0.124,0.091,No
55,ASML Holding N.V.,ASMLD.BA,122.92,0.508,0.079,No
56,"iShares, Inc. - iShares MSCI Emerging Markets ETF",EEM.BA,58.46,0.29,0.057,Yes
57,Wells Fargo & Company,WFC.BA,70.49,0.339,0.187,Yes
58,Banco Comafi S.A.,IVV.BA,36.05,0.194,0.032,No
59,Newmont Corporation,NEM.BA,111.07,0.479,0.119,No
60,Ambev S.A.,ABEV3.BA,55.9,0.282,0.001,Yes
61,eBay Inc.,EBAY.BA,78.64,0.371,0.093,Yes
62,American Express Company,AXP.BA,74.13,0.357,0.235,Yes
63,SPDR S&P 500 ETF Trust,SPY.BA,60.57,0.305,0.153,Yes
