Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,InPost S.A.,INPS.VI,4.5,0.003,0.027,No
2,Jyske Bank A/S,JYSK.VI,69.49,0.104,0.883,No
3,ASR Nederland N.V.,ASRN.VI,74.19,0.119,0.126,No
4,"Krka, d. d.",KRKG.VI,44.71,0.086,0.218,No
5,BAWAG Group AG,BG.VI,77.3,0.205,1.091,Yes
6,Rockwool A/S,ROCK.VI,48.37,0.144,0.972,Yes
7,NN Group N.V.,NN.VI,51.85,0.154,0.599,Yes
8,ageas SA/NV,AGS.VI,35.87,0.112,0.277,Yes
9,ISS A/S,ISS.VI,64.91,0.186,0.467,No
10,DMG MORI AKTIENGESELLSCHAFT,GIL.VI,6.32,0.024,0.052,Yes
11,Tryg A/S,TRYG.VI,64.25,0.196,0.154,No
12,Drägerwerk AG & Co. KGaA,DRW8.VI,74.9,0.231,2.107,No
13,Oberbank AG,OBS.VI,12.76,0.049,0.016,No
14,Banque Cantonale Vaudoise,BCVN.VI,27.63,0.102,1.003,No
15,Banco BPM S.p.A.,BAMI.VI,73.63,0.235,0.711,Yes
16,"CaixaBank, S.A.",CABK.VI,68.54,0.223,0.848,Yes
17,HOCHTIEF Aktiengesellschaft,HOT.VI,75.93,0.243,0.599,Yes
18,Brockhaus Technologies AG,BKHT.VI,50.31,0.174,0.967,No
19,Banca Mediolanum S.p.A.,BMED.VI,59.11,0.2,0.849,Yes
20,Intesa Sanpaolo S.p.A.,ISP.VI,57.06,0.194,0.993,Yes
21,The Bank of New York Mellon Corporation,BONY.VI,59.95,0.209,0.518,Yes
22,Klépierre SA,KLEP.VI,53.2,0.191,0.815,No
23,Poste Italiane S.p.A.,PST.VI,54.25,0.194,0.969,Yes
24,UniCredit S.p.A.,UCG.VI,70.66,0.248,0.958,Yes
25,Brunello Cucinelli S.p.A.,BC.VI,34.91,0.138,1.356,No
26,Assicurazioni Generali S.p.A.,AGEN.VI,40.5,0.158,0.583,Yes
27,Austrian Traded Index,^ATX,30.69,0.126,1.0,Yes
28,Ringkjøbing Landbobank A/S,RILB.VI,47.45,0.184,1.222,No
29,Erste Group Bank AG,EBS.VI,67.05,0.248,1.244,Yes
30,"Bankinter, S.A.",BKT.VI,53.11,0.207,0.845,Yes
31,Deutsche Bank Aktiengesellschaft,DBK.VI,59.32,0.227,1.086,Yes
32,"ACS, Actividades de Construcción y Servicios, S.A.",ACS.VI,55.66,0.216,0.944,Yes
33,"Banco Santander, S.A.",SAN.VI,66.15,0.252,1.412,Yes
34,Allianz SE,ALV.VI,34.06,0.145,0.531,Yes
35,Julius Bär Gruppe AG,BAER.VI,58.18,0.233,1.496,Yes
36,ABN AMRO Bank N.V.,ABN.VI,64.0,0.253,1.084,Yes
37,"Mapfre, S.A.",MAP.VI,43.6,0.187,0.372,Yes
38,"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA.VI,64.45,0.263,1.327,Yes
39,KBC Group NV,KBC.VI,42.02,0.185,0.902,Yes
40,EMS-CHEMIE HOLDING AG,EMSN.VI,60.06,0.25,0.064,Yes
41,PORR AG,POS.VI,58.7,0.247,0.714,Yes
42,Adtran Networks SE,ADV.VI,6.78,0.035,0.026,Yes
43,Nova Ljubljanska Banka d.d.,NLBR.VI,35.33,0.166,0.282,Yes
44,ING Groep N.V.,INGA.VI,47.91,0.216,1.21,Yes
45,"Banco de Sabadell, S.A.",SAB.VI,76.03,0.318,1.011,Yes
46,Euronext N.V.,ENX.VI,43.79,0.205,0.057,Yes
47,Commerzbank AG,CBK.VI,75.66,0.327,1.254,Yes
48,SBM Offshore N.V.,SBMO.VI,52.76,0.245,0.395,Yes
49,Strabag SE,STR.VI,59.94,0.272,0.787,Yes
50,Hui Srl,HUI.VI,12.91,0.069,0.033,Yes
51,UNIQA Insurance Group AG,UQA.VI,43.27,0.208,0.709,Yes
52,"Iberdrola, S.A.",IBE.VI,31.45,0.158,0.405,Yes
53,SCOR SE,SCR.VI,48.3,0.229,0.124,Yes
54,Taiwan Semiconductor Manufacturing Company Limited,TSFA.VI,77.05,0.334,0.53,Yes
55,"Endesa, S.A.",ELE.VI,40.17,0.197,0.123,Yes
56,TORM plc,TRMD.VI,79.44,0.352,0.387,No
57,Amphenol Corporation,APH.VI,59.25,0.282,0.693,Yes
58,"The Goldman Sachs Group, Inc.",GS.VI,52.31,0.255,0.9,Yes
59,DWS Group GmbH & Co. KGaA,DWS.VI,50.51,0.248,0.933,Yes
60,UBS Group AG,UBSG.VI,60.32,0.289,1.208,Yes
61,Rexel S.A.,RXL.VI,33.47,0.176,1.425,Yes
62,Vienna Insurance Group AG,VIG.VI,50.57,0.259,0.797,Yes
63,Enel SpA,ENEL.VI,27.0,0.15,0.559,Yes
64,"Aena S.M.E., S.A.",AEN2.VI,32.82,0.181,0.354,Yes
65,GEA Group Aktiengesellschaft,G1A.VI,29.88,0.167,0.518,Yes
66,Citigroup Inc.,CITI.VI,54.48,0.28,0.933,Yes
67,Banca Generali S.p.A.,BGN.VI,35.22,0.195,0.87,Yes
68,ABB Ltd,ABBN.VI,61.68,0.315,1.613,Yes
69,Azimut Holding S.p.A.,AZM.VI,33.31,0.192,0.864,Yes
70,Ackermans & Van Haaren NV,ACKB.VI,29.08,0.173,0.649,Yes
71,Leonardo S.p.a.,LDO.VI,68.82,0.361,0.225,Yes
72,FinecoBank Banca Fineco S.p.A.,FBK.VI,36.11,0.211,1.079,Yes
73,JPMorgan Chase & Co.,JPM.VI,37.24,0.219,0.349,Yes
74,Pfeiffer Vacuum Technology AG,PFV.VI,9.35,0.062,0.219,Yes
75,Société Générale Société anonyme,GLE.VI,60.31,0.335,1.459,Yes
76,General Dynamics Corporation,GEDY.VI,18.8,0.121,0.249,No
77,Talanx AG,TLX.VI,35.97,0.221,0.587,Yes
78,Aegon Ltd.,AEGN.VI,30.9,0.194,0.407,Yes
79,"The Williams Companies, Inc.",WMB.VI,35.03,0.217,0.22,No
80,Bilfinger SE,GBF.VI,48.84,0.288,0.505,Yes
81,Novartis AG,NOVN.VI,28.53,0.185,0.314,Yes
82,UCB SA,UCB.VI,48.66,0.296,0.407,No
83,Morgan Stanley,MWD.VI,43.84,0.272,0.879,Yes
84,AXA SA,CS.VI,24.19,0.162,0.406,Yes
85,Italgas S.p.A.,IG.VI,31.94,0.208,0.526,Yes
86,Safran SA,SAF.VI,37.6,0.241,0.838,Yes
87,SNP Schneider-Neureither & Partner SE,SHFG.VI,14.68,0.103,0.482,Yes
88,Spotify Technology S.A.,SPOT.VI,56.83,0.352,0.482,No
89,Engie SA,ENGI.VI,32.85,0.223,0.557,Yes
