Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Betashares Australian Cash Plus Active ETF,MMKT.AX,4.57,0.002,0.003,Yes
2,Morphic Ethical Equities Fund Limited,MEC.XA,33.68,0.046,,
3,Betashares Australian Credit Income Active ETF,HBRD.AX,5.57,0.01,0.028,Yes
4,Suncorp Group Ltd,SUNPJ.AX,5.64,0.016,0.023,No
5,Macquarie Bank Limited,MBLPC.AX,6.27,0.021,0.034,Yes
6,Rand Mining Limited,RND.XA,57.28,0.158,4.564,No
7,Macquarie Group Limited,MQGPE.AX,6.18,0.021,0.031,Yes
8,Ramsay Health Care Limited,RHCPA.AX,6.8,0.023,0.044,No
9,Cadence Opportunities Fund Limited,CDO.XA,20.41,0.069,0.069,No
10,WCM Global Growth Limited,WQG.XA,49.47,0.152,0.895,Yes
11,ANZ Group Holdings Limited,AN3PK.AX,6.98,0.026,0.003,No
12,Macquarie Income Opportunities Active ETF,MQIO.AX,6.18,0.023,0.141,Yes
13,ANZ Group Holdings Limited,AN3PJ.AX,6.27,0.024,0.03,Yes
14,National Australia Bank Limited,NABPI.AX,5.97,0.023,0.034,Yes
15,Macquarie Bank Limited,MBLPD.AX,6.9,0.027,0.058,Yes
16,Cadence Opportunities Fund Limited,CDO.AX,37.84,0.131,0.593,Yes
17,Insurance Australia Group Limited,IAGPE.AX,7.17,0.028,0.057,Yes
18,Westpac Banking Corporation,WBCPM.AX,7.18,0.028,0.004,No
19,Bank of Queensland Limited,BOQPF.AX,5.49,0.022,0.029,Yes
20,Franklin Australian Absolute Return Bd A ETF,FRAR.AX,5.37,0.022,0.068,Yes
21,Insurance Australia Group Limited,IAGPF.AX,8.57,0.034,0.108,Yes
22,Macquarie Group Limited,MQGPD.AX,5.92,0.024,0.118,Yes
23,Joyce Corporation Ltd,JYC.XA,50.6,0.174,0.295,No
24,Macquarie Group Limited,MQGPF.AX,7.23,0.029,0.09,Yes
25,VanEck Bentham Global Capital Securities Active ETF (Managed Fund),GCAP.AX,8.76,0.036,0.207,Yes
26,Commonwealth Bank of Australia,CBAPL.AX,5.68,0.024,0.002,Yes
27,National Australia Bank Limited,NABPJ.AX,6.49,0.027,0.009,No
28,Commonwealth Bank of Australia,CBAPM.AX,6.75,0.029,0.029,No
29,Gryphon Capital Income Trust,GCI.AX,9.44,0.04,0.127,Yes
30,National Australia Bank Limited,NABPH.AX,5.08,0.022,0.041,Yes
31,Dalrymple Bay Infrastructure Limited,DBI.AX,32.74,0.128,0.085,Yes
32,Westpac Banking Corp,WBCPK.AX,5.71,0.025,0.01,No
33,Schroder Real Return Active ETF,GROW.AX,10.76,0.047,0.313,Yes
34,Dalrymple Bay Infrastructure Limited,DBI.XA,33.21,0.132,0.009,Yes
35,GenusPlus Group Ltd,GNP.AX,111.84,0.36,1.14,Yes
36,Latitude Group Holdings Limited,LFSPA.AX,13.59,0.06,0.098,Yes
37,Macquarie Group Ltd,MQGPG.AX,6.39,0.03,0.032,Yes
38,Commonwealth Bank of Australia,CBAPJ.AX,4.2,0.02,0.017,Yes
39,Bank of Queensland Limited,BOQPG.AX,6.0,0.028,0.047,Yes
40,Antipodes Global Value Active ETF,AGX1.AX,18.81,0.085,0.38,Yes
41,Westpac Banking Corporation,WBCPJ.AX,4.36,0.021,0.025,Yes
42,Janus Henderson Sustainable Credit Active ETF,GOOD.AX,6.13,0.029,0.108,Yes
43,Westpac Banking Corporation,WBCPL.AX,5.37,0.026,0.011,Yes
44,Bendigo and Adelaide Bank Limited,BENPH.AX,5.29,0.025,0.073,Yes
45,GenusPlus Group Ltd,GNP.XA,110.25,0.378,1.226,Yes
46,Turners Automotive Group Limited,TRA.AX,37.32,0.16,0.108,Yes
47,Suncorp Group Limited,SUNPI.AX,5.58,0.027,0.051,Yes
48,Barrow Hanley Global Share Active ETF,GLOB.AX,15.36,0.072,0.371,Yes
49,Gryphon Capital Income Trust,GCI.XA,9.64,0.046,0.131,Yes
50,SHAPE Australia Corporation Limited,SHA.AX,87.74,0.326,0.159,No
51,Pengana Global Private Credit Trust,PCX.AX,11.3,0.054,0.136,Yes
52,Cuscal Limited,CCL.AX,70.05,0.279,1.353,Yes
53,ANZ Group Holdings Limited,AN3PI.AX,5.51,0.028,0.018,Yes
54,Cuscal Limited,CCL.XA,70.67,0.282,1.357,Yes
55,Dyno Nobel Limited,DNL.XA,55.48,0.233,0.742,Yes
56,Judo Capital Holdings Limited,JDOPA.AX,10.87,0.054,0.016,Yes
57,Po Valley Energy Limited,PVE.XA,109.05,0.406,1.386,No
58,Vanguard All-World ex-US Shares Index ETF,VEU.AX,18.21,0.09,0.508,Yes
59,Commonwealth Bank of Australia,CBAPI.AX,4.76,0.025,0.014,Yes
60,SRG Global Limited,SRG.AX,103.37,0.402,1.196,Yes
61,SRG Global Limited,SRG.XA,103.68,0.404,1.281,Yes
62,DPM Metals Inc.,DPM.AX,122.9,0.457,2.106,Yes
63,Commonwealth Bank of Australia,CBAPK.AX,5.91,0.032,0.001,Yes
64,DPM Metals Inc.,DPM.XA,124.66,0.467,1.959,Yes
65,Skinkandy Limited,SK1.AX,79.12,0.336,3.001,Yes
66,Dimensional Global Core Equity Hedged Active ETF,DFGH.AX,20.94,0.11,0.821,Yes
67,Dimensional Global Core Equity Trust (Unhedged Class) - Active ETF,DGCE.AX,17.79,0.096,0.537,Yes
68,JPMorgan Global Research Enhanced Index Equity (Hedged) Active ETF,JRHG.AX,21.09,0.113,0.721,Yes
69,Joyce Corporation Ltd,JYC.AX,39.55,0.199,0.345,No
70,Macmahon Holdings Limited,MAH.XA,103.28,0.432,0.646,Yes
71,SHAPE Australia Corporation Limited,SHA.XA,91.21,0.397,0.335,No
72,Aims Property Securities Fund,APW.AX,51.96,0.254,0.148,Yes
73,Kina Securities Limited,KSL.XA,27.27,0.145,0.095,Yes
74,Challenger Limited,CGFPD.AX,6.17,0.036,0.042,Yes
75,VanEck Emerging Income Opportunities Active ETF (Managed Fund),EBND.AX,9.31,0.053,0.295,Yes
76,Revolution Private Credit Income Trust,REV.AX,5.73,0.033,0.177,Yes
77,JPMorgan Global Research Enhanced Index Equity Active ETF,JREG.AX,18.05,0.101,0.37,Yes
78,MFF Capital Investments Limited,MFF.AX,28.89,0.156,0.691,Yes
79,Macmahon Holdings Limited,MAH.AX,105.66,0.454,0.8,Yes
80,Magellan Infrastructure Fund (Currency Hedged) - Active ETF,MICH.AX,18.13,0.103,0.668,Yes
81,Magellan Global Opportunities Fund - Active ETF,OPPT.AX,20.86,0.117,0.656,Yes
82,Vanguard Global Minimum Volatility Active ETF,VMIN.AX,13.69,0.079,0.542,Yes
83,MFF Capital Investments Limited,MFF.XA,29.22,0.161,0.71,Yes
84,Ryder Capital Limited,RYD.AX,41.13,0.217,0.816,Yes
85,Bendigo and Adelaide Bank Limited,BENPI.AX,5.85,0.036,0.027,Yes
86,Aspen Group,APZ.AX,56.67,0.289,1.339,Yes
87,Ma Credit Income Trust,MA1.XA,5.8,0.036,0.126,Yes
88,Staude Capital Global Value Fund Limited,GVF.AX,12.61,0.076,0.205,No
89,Betashares Managed Risk Global Shares Complex ETF,WRLD.AX,16.37,0.097,0.425,Yes
90,NRW Holdings Limited,NWH.XA,71.47,0.352,0.88,Yes
91,Aspen Group,APZ.XA,63.01,0.319,1.742,Yes
92,Service Stream Limited,SSM.XA,46.17,0.248,0.295,Yes
93,Service Stream Limited,SSM.AX,46.47,0.251,0.293,Yes
94,Vanguard International Equity Index Funds - Vanguard FTSE All-World ex-US ETF,VEU.XA,14.95,0.091,0.493,Yes
95,Codan Limited,CDA.AX,105.1,0.484,1.231,Yes
96,Codan Limited,CDA.XA,105.43,0.487,1.23,Yes
97,Munro Climate Change Leaders Fund Active ETF,MCCL.AX,52.57,0.283,0.78,Yes
98,Kina Securities Limited,KSL.AX,25.91,0.153,0.004,No
99,Supply Network Limited,SNL.AX,40.64,0.227,0.827,Yes
100,Global X Physical Gold Structured,GOLD.AX,31.28,0.181,0.167,No
101,L1 Long Short Fund Limited,LSF.AX,27.63,0.163,0.361,Yes
102,Bega Cheese Limited,BGA.XA,41.46,0.233,0.443,Yes
103,Perseus Mining Limited,PRU.XA,71.97,0.368,0.085,Yes
104,Bega Cheese Limited,BGA.AX,41.54,0.235,0.445,Yes
105,Vysarn Limited,VYS.AX,100.89,0.48,2.163,Yes
106,Perseus Mining Limited,PRU.AX,72.85,0.376,0.192,Yes
107,GBLX GOLD GBLX GOLD [GOLD],GOLD.XA,32.64,0.192,0.256,Yes
108,National Australia Bank Limited,NABPK.AX,4.8,0.032,0.021,No
109,SPDR ETFs Australia - State Stree SPDR S&P 500 ETF,SPY.AX,20.19,0.125,0.472,Yes
110,Genesis Minerals Limited,GMD.XA,105.12,0.5,1.049,Yes
111,Regis Resources Limited,RRL.XA,103.09,0.494,0.486,Yes
112,Morningstar International Shares Active ETF (Managed Fund),MSTR.AX,17.79,0.112,0.789,Yes
113,Sandfire Resources Limited,SFR.XA,65.39,0.349,1.41,Yes
114,Regis Resources Limited,RRL.AX,102.97,0.496,0.5,Yes
115,Revolution Private Credit Income Trust,REV.XA,4.7,0.031,0.056,Yes
116,Genesis Minerals Limited,GMD.AX,104.96,0.505,1.068,Yes
117,Nanuk New World Fund (Managed Fund),NNUK.AX,24.74,0.152,0.846,Yes
118,FSA Group Limited,FSA.XA,51.36,0.288,0.022,Yes
119,Newmont Corporation,NEM.XA,72.1,0.38,0.877,Yes
120,L1 Long Short Fund Limited,LSF.XA,27.57,0.168,0.385,Yes
121,Vanguard Global Value Equity Active ETF,VVLU.AX,19.95,0.126,0.7,Yes
122,Sandfire Resources Limited,SFR.AX,66.21,0.358,1.497,Yes
123,Evolution Mining Limited,EVN.XA,86.8,0.443,0.625,Yes
124,Evolution Mining Limited,EVN.AX,86.88,0.444,0.636,Yes
125,Firetrail S3 Global Opportunities Fund - Active ETF,S3GO.AX,19.6,0.125,0.638,Yes
126,Vanguard Morningstar US Total Market Shares Index ETF,VTS.AX,19.87,0.126,0.532,Yes
127,Argo Global Listed Infrastructure Limited,ALI.XA,17.85,0.114,0.521,Yes
128,Carindale Property Trust,CDP.AX,18.24,0.117,0.175,Yes
129,GR Engineering Services Limited,GNG.AX,65.48,0.36,1.076,Yes
130,WCM Quality Global Growth Fund-Active ETF,WCMQ.AX,25.55,0.161,0.657,Yes
131,Capricorn Metals Ltd,CMM.AX,72.4,0.391,0.711,Yes
132,Count Limited,CUP.AX,45.05,0.268,0.261,Yes
133,London City Equities Limited,LCE.AX,24.75,0.159,0.008,No
134,WCM Global Growth Limited,WQG.AX,28.94,0.183,0.778,Yes
135,Count Limited,CUP.XA,52.1,0.305,0.578,Yes
136,Future Generation Global Limited,FGG.AX,19.19,0.127,0.524,Yes
137,PM Capital Global Opportunities Fund Limited,PGF.AX,27.07,0.175,0.673,Yes
138,MyState Limited,MYS.XA,24.25,0.159,0.775,Yes
139,Capricorn Metals Ltd,CMM.XA,70.04,0.394,0.788,Yes
