Rank,Name,Ticker,Return (%),Risk
1,Fondo de Inversion ETF Singular Chile Corta Duracion,CFIETFCD.SN,5.68,0.005
2,Toesca SA Administrative General De Fondos- Toesca Deuda Privada Fondo De Inversion,CFITODPA-E.SN,9.34,0.011
3,BTG Pactual Chile S.A. Administradora General De Fondos - Liquidez Alternativa Fund,CFIBTGPLAA.SN,9.16,0.019
4,Moneda Renta CLP Fondo de Inversion,CFIMRCLP.SN,11.25,0.026
5,Fondo De Inversion ETF Singular Chile Corporativo,CFIETFCC.SN,8.15,0.02
6,Fondo de Inversión ETF Singular Global Equities Unica,CFIETFGE.SN,63.71,0.132
7,Moneda Renta CLP Fondo de Inversion,CFIMRCLPR.SN,13.22,0.039
8,Enel Generación Chile S.A.,ENELGXCH.SN,42.4,0.124
9,Singular Asset Management ADM GEN FD SA - FI Singular Core ETF,CFI4060ETF.SN,9.6,0.037
10,Banvida S.A.,BANVIDA.SN,41.03,0.151
11,Empresas Lipigas S.A.,LIPIGAS.SN,59.87,0.21
12,Moneda Cumplo Pronto Pago Pymes Fondo de Inversion,CFIMCUMR.SN,6.73,0.029
13,Falabella S.A.,FALABELLA.SN,49.23,0.19
14,Banco de Crédito e Inversiones,BCI.SN,48.38,0.189
15,Oxiquim S.A.,OXIQUIM.SN,42.4,0.173
16,Enaex S.A.,ENAEX.SN,32.11,0.141
17,Inversiones La Construcción S.A.,ILC.SN,73.68,0.293
18,Besalco S.A.,BESALCO.SN,53.2,0.227
19,Ameris Capital Adm Gen De Fdos Sa - Ameris Dover Street Fund,CFIASXIB-E.SN,10.44,0.052
20,Parque Arauco S.A.,PARAUCO.SN,55.78,0.249
21,Banco de Chile,CHILE.SN,37.74,0.179
22,Banchile Administradora General - Fondo de Inversion MarketPlus Fund,CFIBMPEU-E.SN,27.68,0.137
23,Embotelladora Andina S.A.,ANDINA-A.SN,39.69,0.192
24,Banco Santander-Chile,BSANTANDER.SN,31.72,0.159
25,Zona Franca de Iquique S.A.,ZOFRI.SN,31.82,0.162
26,Banchile Administradora General - Fondo de Inversion MarketPlus Fund,CFIBMPEM-E.SN,25.96,0.137
27,SalfaCorp S.A.,SALFACORP.SN,57.34,0.273
28,Echeverría Izquierdo S.A.,EISA.SN,76.09,0.344
29,Plaza S.A.,MALLPLAZA.SN,59.08,0.282
30,CGE Transmisión S.A.,CGET.SN,88.1,0.386
31,Banco Itaú Chile,ITAUCL.SN,45.59,0.231
32,iShares Core S&P 500 ETF,IVV.SN,23.5,0.13
33,iShares Trust - iShares Core S&P 500 ETF,IVVCL.SN,26.41,0.148
34,Embotelladora Andina S.A.,ANDINA-B.SN,44.77,0.235
35,Fondo de Inversion ETF Singular S&P 500 Fund,CFISPETF.SN,25.36,0.148
36,Inversiones Tricahue S.A.,TRICAHUE.SN,43.85,0.24
37,Ingevec S.A.,INGEVEC.SN,71.32,0.361
38,Ameris Capital Administradora General de Fondos S.A.- Fundo de Inversion Ameris Deuda Directa Fund,CFIAMDDC-E.SN,7.35,0.048
39,Pionero Fondo De Inversion,CFIPIONERO.SN,29.57,0.18
40,Banchile Administradora General - Fondo de Inversion MarketPlus Fund,CFIBCHMPUS.SN,24.7,0.154
41,Quiñenco SA,QUINENCO.SN,30.54,0.187
42,Administradora de Fondos de Pensiones Provida S.A.,PROVIDA.SN,50.3,0.289
43,"iShares, Inc. - iShares MSCI Emerging Markets ETF",EEMCL.SN,27.32,0.175
44,Administradora de Fondos de Pensiones Habitat S.A.,HABITAT.SN,33.88,0.213
45,Ripley Corp S.A.,RIPLEY.SN,39.26,0.243
46,Singular Asset Management Adm Gen Fondos SA - Fondo de Inversion ETF Singular Nasdaq 100 Fund,CFINASDAQ.SN,29.99,0.195
47,LATAM Airlines Group S.A.,LTM.SN,54.37,0.33
48,Engie Energia Chile S.A.,ECL.SN,34.26,0.223
49,Fondo de Inversion Santander Small Cap,CFISANHICA.SN,7.03,0.051
50,Fondo Mutuo ETF IT NOW S&P IPSA UNICA,CFMITNIPSA.SN,19.61,0.139
51,Enel Chile S.A.,ENELCHILE.SN,23.87,0.166
52,Administradora de Fondos de Pensiones Cuprum S.A.,CUPRUM.SN,72.87,0.431
53,Walmart Inc.,WALMARTCL.SN,48.96,0.312
54,Empresas Tricot S.A.,TRICOT.SN,37.08,0.246
55,Administradora Americana de Inversiones S.A.,AAISA.SN,42.41,0.283
56,Larrainvial Asset Management Administradora General - Fondo De Inversion Larrainvial Deuda Privada F,CFILVDPU-E.SN,5.63,0.044
57,Administradora de Fondos de Pensiones PlanVital S.A.,PLANVITAL.SN,53.34,0.347
58,Inversiones Aguas Metropolitanas S.A.,IAM.SN,20.41,0.149
59,iShares Trust - iShares U.S. Tech Breakthrough Multisector ETF,TECBCL.SN,35.38,0.248
60,Fondo de Inversion Independencia Rentas Inmobiliarias,CFINRENTAS.SN,21.35,0.164
61,Bicecorp S.A.,BICE.SN,67.16,0.442
62,Newmont Corporation,NEMCL.SN,80.63,0.529
63,Instituto de Diagnóstico S.A.,INDISA.SN,32.27,0.25
64,Cencosud Shopping S.A.,CENCOMALLS.SN,29.1,0.234
65,Empresa Constructora Moller y Pérez Cotapos S.A.,MOLLER.SN,30.23,0.251
66,"Amazon.com, Inc.",AMZNCL.SN,34.99,0.304
67,Aguas Andinas S.A.,AGUAS-A.SN,15.2,0.146
68,Sociedad Anonima de Deportes Club de Golf Santiago,GOLF.SN,5.76,0.058
69,iShares Trust - iShares Core S&P Total U.S. Stock Market ETF,ITOT.SN,23.37,0.234
70,Soquimich Comercial S.A.,SOQUICOM.SN,18.48,0.199
71,Paz Corp S.A.,PAZ.SN,24.61,0.265
72,Visa Inc.,VCL.SN,25.43,0.274
73,Forus S.A.,FORUS.SN,17.13,0.194
74,Multiexport Foods S.A.,MULTI-X.SN,19.32,0.225
75,Sociedad Matriz SAAM S.A.,SMSAAM.SN,14.37,0.179
76,Empresas Gasco S.A.,GASCO.SN,17.53,0.216
77,Coca-Cola Embonor S.A.,EMBONOR-B.SN,14.18,0.178
78,abc S.A.,ABC.SN,36.78,0.446
79,Camanchaca S.A.,CAMANCHACA.SN,20.98,0.274
80,Almendral S.A.,ALMENDRAL.SN,18.81,0.25
81,Sigdo Koppers S.A.,SK.SN,12.74,0.176
82,Asset Administradora General de Fondos S.A. - Fundo De Investimento Asset Rentas Residenciales,CFIARR.SN,17.26,0.242
83,Empresa Eléctrica Pehuenche S.A.,PEHUENCHE.SN,9.56,0.142
84,Nuam S.A.,NUAM.SN,17.88,0.257
85,Empresa Nacional de Telecomunicaciones S.A.,ENTEL.SN,18.45,0.28
86,iShares Trust - iShares U.S. Technology ETF,IYWCL.SN,22.51,0.337
87,Watt's S.A.,WATTS.SN,13.53,0.213
88,Pampa Investments S.A.,PAMPA.SN,23.54,0.381
89,BTG Pactual Chile SA Administradora General De Fondos - ETF Latam Equities FI,CFIETFLAT.SN,8.2,0.142
90,iShares Gold Trust,IAUCL.SN,12.79,0.231
91,Empresas Hites S.A.,HITES.SN,18.07,0.34
92,"ISHARES BITCOIN TRUST, UNICA",IBITCL.SN,28.33,0.54
93,Socovesa S.A.,SOCOVESA.SN,25.53,0.498
94,Larrain Vial Activos S A Administradora General De Fondos - Cuota De Fondo De Inversion,CFIDHS2-A.SN,4.99,0.116
95,Cencosud S.A.,CENCOSUD.SN,10.15,0.246
96,Sociedad Química y Minera de Chile S.A.,SQM-A.SN,14.94,0.374
97,Sociedad Química y Minera de Chile S.A.,SQM-B.SN,16.56,0.413
98,Colbún S.A.,COLBUN.SN,5.27,0.151
99,Inmobiliaria Central de Estacionamientos Agustinas S.A.,ESTACIONAM.SN,3.22,0.102
100,CAP S.A.,CAP.SN,8.04,0.315
101,BTG Pactual Renta Comercial F. I,CFIBTGRCA.SN,5.22,0.219
102,Scotiabank Chile S.A.,SCOTIABKCL.SN,3.43,0.175
103,Invercap S.A.,INVERCAP.SN,5.28,0.272
104,AntarChile S.A.,ANTARCHILE.SN,3.05,0.176
105,Viña Concha y Toro S.A.,CONCHATORO.SN,0.06,0.185
106,SMU S.A.,SMU.SN,-0.21,0.212
107,Minera Valparaiso S.A.,MINERA.SN,-2.81,0.154
108,Aurus Capital Renta Inmobiliaria Fondo de Inversión,CFILVPA1RI.SN,-2.37,0.112
109,Sonda S.A.,SONDA.SN,-5.14,0.19
110,Enel Américas S.A.,ENELAM.SN,-5.0,0.176
111,BTG Pactual Chile S.A. Administradora General De Fondos - BTG Pactual Renta Residencial Fund,CFIBTGRRA.SN,-7.59,0.255
112,Cintac S.A.,CINTAC.SN,-12.73,0.403
113,Clínica Las Condes S.A.,LAS-CONDES.SN,-11.65,0.364
114,Empresas CMPC S.A.,CMPC.SN,-11.24,0.221
115,,QTOP.SN,37.24,
