Rank,Name,Ticker,Return (%),Risk
1,EfTEN Real Estate Fund AS,EFT1T.TL,7.34,0.058
2,TKM Grupp AS,TKM1T.TL,4.56,0.062
3,AS Tallinna Vesi,TVE1T.TL,4.9,0.074
4,AS Tallinna Sadam,TSM1T.TL,7.84,0.145
5,AS Pro Kapital Grupp,PKG1T.TL,5.45,0.414
6,AS LHV Group,LHV1T.TL,1.38,0.125
7,Coop Pank AS,CPA1T.TL,1.54,0.147
8,Nordecon AS,NCN1T.TL,-4.62,0.263
9,Arco Vara AS,ARC1T.TL,-5.84,0.169
10,Baltic Horizon Fund,NHCBHFFT.TL,-12.59,0.351
11,Nordic Fibreboard AS,SKN1T.TL,-11.8,0.277
12,Liven AS,LVN1T.TL,-10.37,0.02
