Rank,Name,Ticker,Return (%),Risk
1,PT Total Bangun Persada Tbk,TOTL.JK,87.53,0.337
2,PT FAP Agri Tbk,FAPA.JK,14.46,0.071
3,PT Colorpak Indonesia Tbk,CLPI.JK,34.72,0.173
4,PT Triputra Agro Persada Tbk,TAPG.JK,98.19,0.43
5,PT Duta Intidaya Tbk,DAYA.JK,76.69,0.399
6,"PT Jaya Real Property, Tbk.",JRPT.JK,24.41,0.166
7,PT Indonesia Kendaraan Terminal Tbk,IPCC.JK,34.66,0.234
8,PT Central Omega Resources Tbk,DKFT.JK,118.53,0.645
9,PT Panca Budi Idaman Tbk,PBID.JK,28.11,0.202
10,PT Maha Properti Indonesia Tbk,MPRO.JK,126.68,0.687
11,PT AEP Pinago Plantations Tbk,PNGO.JK,52.42,0.353
12,PT Hartadinata Abadi Tbk,HRTA.JK,115.9,0.657
13,PT Cahaya Aero Services Tbk,CASS.JK,55.49,0.372
14,PT Capital Financial Indonesia Tbk,CASA.JK,59.45,0.412
15,PT TIMAH Tbk,TINS.JK,117.11,0.699
16,PT Darma Henwa Tbk,DEWA.JK,114.64,0.696
17,PT ITSEC Asia Tbk,CYBR.JK,94.64,0.617
18,PT Jasuindo Tiga Perkasa Tbk,JTPE.JK,44.59,0.349
19,PT Archi Indonesia Tbk,ARCI.JK,91.94,0.627
20,PT Dewi Shri Farmindo Tbk.,DEWI.JK,49.89,0.391
21,PT Surya Semesta Internusa Tbk,SSIA.JK,123.82,0.8
22,PT Rukun Raharja Tbk,RAJA.JK,111.02,0.757
23,PT Kota Satu Properti Tbk,SATU.JK,54.83,0.445
24,PT Trimegah Sekuritas Indonesia Tbk,TRIM.JK,46.0,0.388
25,PT Energi Mega Persada Tbk,ENRG.JK,122.66,0.836
26,PT Jantra Grupo Indonesia Tbk,KAQI.JK,90.16,0.669
27,PT Malacca Trust Wuwungan Insurance Tbk,MTWI.JK,67.69,0.536
28,PT Ateliers Mecaniques D'Indonesie Tbk,AMIN.JK,36.31,0.32
29,PT Janu Putra Sejahtera Tbk.,AYAM.JK,83.92,0.646
30,PT Paramita Bangun Sarana Tbk,PBSA.JK,95.6,0.726
31,PT Jasa Armada Indonesia Tbk,IPCM.JK,11.1,0.113
32,PT Charlie Hospital Semarang Tbk,RSCH.JK,63.96,0.552
33,PT Intanwijaya Internasional Tbk,INCI.JK,17.39,0.177
34,PT Bumi Resources Minerals Tbk,BRMS.JK,91.03,0.746
35,PT Palma Serasih Tbk,PSGO.JK,23.95,0.244
36,PT Inter Delta Tbk,INTD.JK,31.25,0.312
37,PT. Penta Valent Tbk,PEVE.JK,36.1,0.359
38,PT Dharma Satya Nusantara Tbk,DSNG.JK,68.97,0.63
39,PT Dunia Virtual Online Tbk,AREA.JK,120.61,0.966
40,PT Prime Agri Resources Tbk,SGRO.JK,75.37,0.683
41,PT Tempo Scan Pacific Tbk,TSPC.JK,25.5,0.273
42,PT Steel Pipe Industry of Indonesia Tbk,ISSP.JK,23.0,0.252
43,PT Surya Pertiwi Tbk,SPTO.JK,14.8,0.168
44,PT Indonesia Pondasi Raya Tbk,IDPR.JK,39.99,0.418
45,PT Asuransi Multi Artha Guna Tbk,AMAG.JK,16.38,0.188
46,PT Ever Shine Tex Tbk,ESTI.JK,118.59,1.002
47,PT Ace Oldfields Tbk,KUAS.JK,37.75,0.415
48,PT Japfa Comfeed Indonesia Tbk,JPFA.JK,35.35,0.397
49,PT Antam (Persero) Tbk,ANTM.JK,41.59,0.469
50,PT PAM Mineral Tbk,NICL.JK,125.87,1.128
51,PT Multi Prima Sejahtera Tbk,LPIN.JK,16.91,0.211
