Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Omer Construction & Engineering (1986) Ltd.,OMCN.TA,85.57,0.227,0.16,No
2,Menora Mivtachim Holdings Ltd.,MMHD.TA,89.02,0.275,1.175,Yes
3,Phoenix Financial Ltd.,PHOE.TA,75.65,0.255,1.094,Yes
4,Harel Insurance Investments & Financial Services Ltd,HARL.TA,97.53,0.314,1.379,Yes
5,Libra Insurance Company Ltd,LBRA.TA,134.71,0.417,0.923,Yes
6,Max Stock Ltd.,MAXO.TA,84.27,0.303,0.913,Yes
7,Bet Shemesh Engines Holdings (1997) Ltd,BSEN.TA,121.28,0.423,0.757,Yes
8,Meitav Investment House Ltd,MTAV.TA,125.24,0.445,1.78,Yes
9,TA-125,^TA125.TA,31.9,0.159,1.0,Yes
10,OPC Energy Ltd.,OPCE.TA,68.57,0.305,0.932,Yes
11,Bank Leumi le-Israel B.M.,LUMI.TA,37.81,0.188,0.906,Yes
12,Migdal Insurance and Financial Holdings Ltd.,MGDL.TA,73.66,0.33,1.558,Yes
13,Paz Retail And Energy Ltd.,PAZ.TA,45.18,0.229,0.968,Yes
14,Bank Hapoalim B.M.,POLI.TA,34.83,0.183,0.869,Yes
15,The Tel-Aviv Stock Exchange Ltd.,TASE.TA,98.65,0.428,1.562,Yes
16,Clal Insurance Enterprises Holdings Ltd.,CLIS.TA,77.35,0.362,1.949,Yes
17,Minrav Group Ltd,MNRV.TA,69.62,0.338,0.846,No
18,Analyst I.M.S. Investment Management Services Ltd,ANLT.TA,75.93,0.365,1.088,Yes
19,Michpal Technologies Ltd,MCPL.TA,64.38,0.324,0.574,No
20,Orad Ltd,ORAD.TA,92.41,0.447,0.482,Yes
21,Y.D. More Investments Ltd,MRIN.TA,97.97,0.482,1.571,Yes
22,Mivtach Shamir Holdings Ltd,MISH.TA,70.63,0.382,1.517,Yes
23,Turpaz Industries Ltd,TRPZ.TA,116.89,0.562,2.135,Yes
24,El Al Israel Airlines Ltd.,ELAL.TA,86.34,0.456,0.898,Yes
25,BrainsWay Ltd.,BWAY.TA,102.02,0.521,1.458,Yes
26,Econergy Ltd,ECNR.TA,88.97,0.47,1.586,Yes
27,Lahav LR Real Estate Ltd,LAHAV.TA,54.12,0.322,1.143,Yes
28,Albaad Massuot Yitzhak Ltd,ALBA.TA,63.73,0.372,0.797,Yes
29,Dor Alon Energy In Israel (1988) Ltd,DRAL.TA,42.15,0.268,0.922,Yes
30,P.C.B. Technologies Ltd,PCBT.TA,83.03,0.465,1.175,Yes
31,Rapac Communication & Infrastructure Ltd,RPAC.TA,53.67,0.337,1.29,Yes
32,ARGO Properties N.V.,ARGO.TA,38.11,0.255,0.753,Yes
33,BIG Shopping Centers Ltd,BIG.TA,33.19,0.227,1.147,Yes
34,More Provident Funds and Pensions Ltd,MPP.TA,61.07,0.382,1.022,Yes
35,Rimon Consulting & Management Services Ltd.,RMON.TA,71.77,0.438,1.652,Yes
36,Elbit Systems Ltd.,ESLT.TA,48.53,0.319,0.483,Yes
37,Neto M.E Holdings Ltd,NTO.TA,54.3,0.352,1.371,Yes
38,Cellcom Israel Ltd.,CEL.TA,51.6,0.339,1.527,Yes
39,I.D.I. Insurance Company Ltd.,IDIN.TA,53.09,0.347,0.827,Yes
40,Castro Model Ltd.,CAST.TA,71.11,0.441,0.547,Yes
41,G1 Secure Solutions Ltd,GOSS.TA,47.39,0.323,0.899,Yes
42,Golf & Co Group Ltd,GOLF.TA,43.53,0.303,0.712,Yes
43,Shagrir Group Vehicle Services Ltd,SHGR.TA,47.39,0.327,0.37,Yes
44,Aluma Infrastructure Fund (2020) Ltd,ALUMA.TA,63.4,0.425,1.342,Yes
45,Willy-Food Investments Ltd,WLFD.TA,49.94,0.35,1.269,Yes
46,Opal Balance Investments Ltd,OPAL.TA,35.63,0.265,1.008,Yes
47,TAT Technologies Ltd.,TATT.TA,63.09,0.434,0.475,Yes
48,Neto Malinda Trading Ltd.,NTML.TA,46.34,0.336,1.325,Yes
49,Bareket Capital Ltd,BRKT.TA,40.24,0.302,0.997,Yes
50,Kardan Israel Ltd.,KRDI.TA,52.74,0.381,0.916,Yes
51,Qualitau Ltd,QLTU.TA,112.03,0.703,2.309,Yes
52,SofWave Medical Ltd.,SOFW.TA,68.59,0.488,1.413,Yes
53,Partner Communications Company Ltd.,PTNR.TA,43.23,0.335,0.878,Yes
54,M.Yochananof and Sons (1988) Ltd,YHNF.TA,36.25,0.29,0.938,Yes
55,Menif - Financial Services Ltd,MNIF.TA,40.87,0.323,1.388,Yes
56,Delta Israel Brands Ltd,DLTI.TA,52.32,0.398,1.41,Yes
57,Teva Pharmaceutical Industries Limited,TEVA.TA,52.3,0.4,0.71,Yes
58,Kenon Holdings Ltd.,KEN.TA,40.25,0.32,1.208,Yes
59,Zur Shamir Holdings Ltd,ZUR.TA,52.66,0.409,1.456,Yes
60,Terminal X Online Ltd.,TRX.TA,53.47,0.416,1.571,Yes
61,Bikurey Hasade Group Ltd,BKRY.TA,37.61,0.311,0.71,Yes
62,Zanlakol Ltd,ZNKL.TA,45.02,0.365,0.428,Yes
63,Shufersal Ltd,SAE.TA,34.67,0.292,0.708,Yes
64,Rotshtein Realestate Ltd,ROTS.TA,41.87,0.346,1.296,Yes
65,Mizrahi Tefahot Bank Ltd.,MZTF.TA,21.68,0.197,0.724,Yes
66,Tiv Taam Holdings 1 Ltd.,TTAM.TA,28.92,0.256,0.541,Yes
67,Ashot Ashkelon Industries Ltd.,ASHO.TA,64.4,0.508,1.33,Yes
68,Priortech Ltd,PRTC.TA,48.26,0.408,0.864,Yes
69,Azrieli Group Ltd.,AZRG.TA,32.56,0.292,1.476,Yes
70,Rent It - Residential Reit Ltd,RENT.TA,26.81,0.246,0.214,No
71,Inrom Construction Industries Ltd,INRM.TA,37.06,0.332,1.062,Yes
72,Elad Software Systems Ltd,ELAD.TA,46.36,0.403,0.097,Yes
73,Rami Levi Chain Stores Hashikma Marketing 2006 Ltd,RMLI.TA,19.76,0.191,0.483,Yes
74,F.I.B.I. Holdings Ltd,FIBIH.TA,25.82,0.244,1.09,Yes
75,Melisron Ltd.,MLSR.TA,23.06,0.22,0.986,Yes
76,Rotem Shani Entrepreneurship and Investment Ltd.,RTSN.TA,42.0,0.375,0.762,Yes
77,Israel Discount Bank Limited,DSCT.TA,21.6,0.208,0.838,Yes
78,Hagag Europe Development Z.F. Ltd,HGGE.TA,47.93,0.421,0.901,Yes
79,El-Mor Electric Installation & Services (1986) Ltd.,ELMR.TA,56.4,0.482,1.596,Yes
80,Baran Group Ltd,BRAN.TA,39.24,0.356,0.412,Yes
81,Accel Solutions Group Ltd,ACCL.TA,50.79,0.446,1.138,Yes
82,Michlol Finance Ltd,MCLL.TA,36.2,0.335,0.827,Yes
83,Mendelson Infrastructures & Industries Ltd.,MNIN.TA,35.41,0.332,0.98,Yes
84,Isrotel Ltd.,ISRO.TA,30.46,0.297,1.008,Yes
85,E. Schnapp & Co. Works Ltd,SHNP.TA,34.41,0.335,0.674,Yes
86,Allot Ltd.,ALLT.TA,69.85,0.611,0.507,Yes
