Rank,Name,Ticker,Return (%),Risk
1,"The 77 Bank, Ltd.",8341.T,66.32,0.218
2,"The Kiyo Bank, Ltd.",8370.T,61.02,0.213
3,Okinawa Cellular Telephone Company,9436.T,43.44,0.162
4,"Sompo Holdings, Inc.",8630.T,55.91,0.21
5,Yasuda Logistics Corporation,9324.T,39.04,0.168
6,"Senshu Ikeda Holdings, Inc.",8714.T,61.46,0.25
7,Pro-Ship Incorporated,3763.T,65.31,0.272
8,"Mizuho Financial Group, Inc.",8411.T,61.43,0.26
9,Hochiki Corporation,6745.T,64.09,0.269
10,"Taiyo Holdings Co., Ltd.",4626.T,66.06,0.281
11,"NIKKON Holdings Co.,Ltd.",9072.T,61.81,0.267
12,"Inaba Denki Sangyo Co.,Ltd.",9934.T,29.96,0.145
13,"Hachijuni Nagano Bank, Ltd.",8359.T,60.02,0.263
14,"Mitsubishi UFJ Financial Group, Inc.",8306.T,52.04,0.235
15,Canon Marketing Japan Inc.,8060.T,30.25,0.147
16,"Sumitomo Mitsui Financial Group, Inc.",8316.T,51.54,0.243
17,"Japan Process Development Co., Ltd.",9651.T,35.49,0.177
18,"Okinawa Financial Group, Inc.",7350.T,56.95,0.267
19,Japan Tobacco Inc.,2914.T,35.51,0.179
20,"HORAI Co., Ltd.",9679.T,32.91,0.168
21,"Kyoto Financial Group,Inc.",5844.T,40.59,0.202
22,"Nippon Beet Sugar Manufacturing Co.,Ltd.",2108.T,51.88,0.249
23,Aucnet Inc.,3964.T,59.63,0.283
24,"Max Co., Ltd.",6454.T,48.29,0.24
25,"Chugin Financial Group,Inc.",5832.T,59.93,0.288
26,"Tokyo Kiraboshi Financial Group, Inc.",7173.T,55.74,0.271
27,"Nasu Denki-Tekko Co., Ltd.",5922.T,40.25,0.208
28,"The Sumitomo Warehouse Co., Ltd.",9303.T,26.47,0.144
29,"Shizuoka Financial Group,Inc.",5831.T,56.15,0.276
30,"SENKO Group Holdings Co., Ltd.",9069.T,35.32,0.187
31,"Akatsuki Eazima Co., Ltd.",1997.T,52.46,0.263
32,Happinet Corporation,7552.T,56.86,0.283
33,"Chuokeizai-Sha Holdings, Inc.",9476.T,34.44,0.185
34,Tomoe Corporation,1921.T,63.14,0.31
35,"Yodoko, Ltd.",5451.T,36.37,0.196
36,"Systems Design Co., Ltd.",3766.T,30.12,0.168
37,"Nomura Holdings, Inc.",8604.T,52.7,0.281
38,Otec Corporation,1736.T,43.41,0.239
39,Kinden Corporation,1944.T,59.55,0.311
40,"Dainichiseika Color & Chemicals Mfg. Co., Ltd.",4116.T,46.38,0.254
41,"Ichiken Co., Ltd.",1847.T,65.81,0.339
42,"Daido Signal Co., Ltd.",6743.T,46.42,0.254
43,Masaru Corporation,1795.T,20.99,0.126
44,"The Tochigi Bank, Ltd.",8550.T,64.17,0.335
45,"Ichinen Holdings Co., Ltd.",9619.T,30.74,0.18
46,"Maruzen Co., Ltd.",5982.T,33.42,0.194
47,Kanematsu Corporation,8020.T,37.73,0.216
48,"F.C.C. Co., Ltd.",7296.T,42.06,0.238
49,"Marufuji Sheet Piling Co.,Ltd.",8046.T,37.86,0.217
50,Chudenko Corporation,1941.T,35.26,0.205
51,Kuriyama Holdings Corporation,3355.T,37.5,0.217
52,"FALCO HOLDINGS Co., Ltd.",4671.T,21.27,0.131
53,"Forval Telecom,Inc.",9445.T,18.88,0.117
54,Yellow Hat Ltd.,9882.T,29.8,0.178
55,Tekken Corporation,1815.T,38.33,0.223
56,"Nippon Air conditioning Services Co., Ltd.",4658.T,34.37,0.203
57,"Mitani Sangyo Co., Ltd.",8285.T,43.81,0.251
58,"Star Mica Holdings Co., Ltd.",2975.T,46.07,0.262
59,"TBS Holdings,Inc.",9401.T,40.03,0.232
60,"Fuji Media Holdings, Inc.",4676.T,47.02,0.267
61,"Fuso Dentsu Co., Ltd.",7505.T,53.73,0.3
62,"Suzuki Co.,Ltd.",6785.T,50.52,0.286
63,Agratio urban design Inc.,3467.T,33.41,0.201
64,"Osaka Gas Co., Ltd.",9532.T,40.5,0.238
65,Hokkan Holdings Limited,5902.T,30.41,0.186
66,Sumitomo Corporation,8053.T,43.1,0.252
67,"Okura Industrial Co., Ltd.",4221.T,42.59,0.25
68,"Sata Construction Co., Ltd.",1826.T,37.59,0.226
69,Tokyo Century Corporation,8439.T,28.52,0.177
70,Fujii Sangyo Corporation,9906.T,34.95,0.214
71,"Kyodo Printing Co., Ltd.",7914.T,40.53,0.244
72,Vitabrid Japan Inc.,542A.T,34.84,0.214
73,Sakata INX Corporation,4633.T,37.35,0.228
74,OUG Holdings Inc.,8041.T,32.35,0.202
75,NEC Corporation,6701.T,53.04,0.308
76,Mansei Corporation,7565.T,47.13,0.279
77,"ENEOS Holdings, Inc.",5020.T,39.68,0.242
78,"Maruzen Showa Unyu Co., Ltd.",9068.T,31.05,0.196
79,Yurtec Corporation,1934.T,50.27,0.296
