Rank,Name,Ticker,Return (%),Risk
1,AB KN Energies,KNE1L.VS,44.94,0.175
2,AB Vilkyskiu pienine,VLP1L.VS,63.46,0.284
3,"Invalda INVL, AB",IVL1L.VS,48.65,0.234
4,Rokiskio Suris AB,RSU1L.VS,23.74,0.13
5,INVL Technology UTIB,INC1L.VS,41.62,0.231
6,AB Pieno Zvaigzdes,PZV1L.VS,26.47,0.173
7,Special Closed-Ended Type Real Estate Investment Company INVL BALTIC REAL ESTATE,INR1L.VS,18.81,0.14
8,AB Artea bankas,ROE1L.VS,22.12,0.189
9,AB Ignitis grupe,IGN1L.VS,10.0,0.098
10,AB Kauno Energija,KNR1L.VS,40.38,0.387
11,AB Akola Group,AKO1L.VS,19.42,0.201
12,Vilniaus Baldai AB,VBL1L.VS,22.85,0.266
13,AB Zemaitijos pienas,ZMP1L.VS,21.72,0.264
14,Grigeo Group AB,GRG1L.VS,9.44,0.15
15,AB Amber Grid,AMG1L.VS,7.64,0.123
16,AB INVL Baltic Farmland,INL1L.VS,1.29,0.196
17,Utenos Trikotazas AB,UTR1L.VS,-6.12,0.378
18,Auga Group AB,AUG1L.VS,-18.07,0.715
