Rank,Name,Ticker,Return (%),Risk,Volatility,Follows Market Direction ?
1,Linde plc,LIN1N.MX,0.09,0.0,0.0,No
2,"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA.MX,57.75,0.223,0.42,Yes
3,Fibra Shop,FSHOP13.MX,35.13,0.15,0.057,No
4,LY Corporation,4689N.MX,25.14,0.113,2.496,Yes
5,RTX Corporation,RTX.MX,44.87,0.191,0.169,No
6,iShares S&P 500 Peso Hedged TRAC,IVVPESOISHRS.MX,27.41,0.127,0.196,Yes
7,Taiwan Semiconductor Manufacturing Company Limited,TSMN.MX,77.25,0.312,0.226,No
8,"Corporación Actinver, S. A. B. de C. V.",ACTINVRB.MX,19.1,0.096,0.062,Yes
9,Fibra Nova,FNOVA17.MX,7.87,0.042,0.094,Yes
10,Citigroup Inc.,C.MX,53.1,0.238,0.09,No
11,"The Goldman Sachs Group, Inc.",GS.MX,51.2,0.232,0.074,No
12,Parker-Hannifin Corporation,PH.MX,40.02,0.195,0.24,No
13,"INVEX Controladora, S.A.B. de C.V.",INVEXA.MX,11.51,0.064,0.03,Yes
14,Howmet Aerospace Inc.,HWM.MX,82.45,0.362,0.117,Yes
15,"Promotora y Operadora de Infraestructura, S. A. B. de C. V.",PINFRAL.MX,29.29,0.157,0.272,Yes
16,NVIDIA Corporation,NVDA.MX,84.13,0.382,0.869,No
17,FIBRA Storage,STORAGE18.MX,30.12,0.168,0.479,Yes
18,JPMorgan Chase & Co.,JPM.MX,37.06,0.202,0.264,No
19,Barclays PLC,BCSN.MX,58.45,0.305,0.021,No
20,"Grupo Profuturo, S.A.B. de C.V.",GPROFUT.MX,22.49,0.134,0.097,No
21,Morgan Stanley,MS.MX,41.82,0.236,0.1,Yes
22,Vanguard FTSE Biva Mexico Equity ETF,VMEX19.MX,17.53,0.109,1.014,Yes
23,Agnico Eagle Mines Limited,AEMN.MX,83.1,0.429,1.22,Yes
24,Amphenol Corporation,APH.MX,65.85,0.359,0.029,Yes
25,Spotify Technology S.A.,SPOTN.MX,61.93,0.342,0.386,No
26,"Grupo México, S.A.B. de C.V.",GMEXICOB.MX,55.29,0.312,1.637,Yes
27,"Mitsubishi UFJ Financial Group, Inc.",MUFGN.MX,48.02,0.278,0.032,Yes
28,"Arista Networks, Inc.",ANET.MX,79.19,0.426,0.669,No
29,"Corporación Moctezuma, S.A.B. de C.V.",CMOCTEZ.MX,17.99,0.119,0.197,Yes
30,"Corporación Interamericana de Entretenimiento, S.A.B. de C.V.",CIEB.MX,60.09,0.348,0.293,Yes
31,Bank of America Corporation,BAC.MX,34.09,0.217,0.257,No
32,General Motors Company,GM.MX,42.5,0.266,0.012,Yes
33,"Iberdrola, S.A.",IBEN.MX,29.2,0.192,0.094,Yes
34,"Quanta Services, Inc.",PWR.MX,51.27,0.317,0.372,Yes
35,MEXTRAC 09 ETF,MEXTRAC09.MX,18.4,0.129,0.984,Yes
36,General Electric Company,GE.MX,52.65,0.331,0.084,Yes
37,Barrick Mining Corp,BN.MX,58.44,0.362,0.665,Yes
38,Philip Morris International Inc.,PM.MX,30.59,0.212,0.01,Yes
39,eBay Inc.,EBAY.MX,38.15,0.258,0.235,No
40,"Virtu Financial, Inc.",VIRT.MX,68.44,0.421,1.092,No
41,Newmont Corporation,NEM.MX,59.54,0.381,0.821,Yes
42,"The Travelers Companies, Inc.",TRV.MX,35.31,0.248,0.74,No
43,American Express Company,AXP.MX,34.18,0.244,0.193,No
44,The Bank of Nova Scotia,BNS.MX,27.46,0.204,0.037,Yes
45,Royal Caribbean Cruises Ltd.,RCL.MX,57.69,0.395,0.399,Yes
46,Alphabet Inc.,GOOGL.MX,43.83,0.318,0.13,No
47,"Gentera, S.A.B. de C.V.",GENTERA.MX,35.76,0.268,0.945,Yes
48,Alphabet Inc.,GOOG.MX,42.95,0.315,0.12,No
49,"Halozyme Therapeutics, Inc.",HALO.MX,43.5,0.322,0.046,No
50,Wells Fargo & Company,WFC.MX,31.3,0.242,0.427,No
51,Jabil Inc.,JBL.MX,44.03,0.326,0.115,No
52,Cummins Inc.,CMI.MX,46.85,0.351,0.161,No
53,Pan American Silver Corp.,PAASN.MX,62.42,0.447,0.909,Yes
54,"Expedia Group, Inc.",EXPE.MX,61.05,0.441,0.068,No
55,Capital One Financial Corporation,COF.MX,34.23,0.271,0.394,No
