Date,LAHAV.TA,OMCN.TA,ORL.TA,TLSY.TA,IES.TA,HIPR.TA,GAGR.TA,GOTO.TA,GLTL.TA,HARL.TA,SCOP.TA,KSTN.TA,ENLT.TA,SPEN.TA,PHOE.TA,MGDL.TA,AFHL.TA,TSEM.TA,MMHD.TA,GNRS.TA,SOLR.TA,BWAY.TA,OPCE.TA,AYAL.TA,PAZ.TA
2025-09-30,577.5874633789062,,89.37602233886719,19118.474609375,30100.0,1671.6220703125,691.9000244140625,350.1000061035156,93.0,11155.505859375,15394.318359375,952.09619140625,10190.0,2707.867431640625,12395.9775390625,1149.0,23045.08203125,23540.0,32489.98828125,113.47136688232422,4610.0,2529.0,5239.0,6739.826171875,67845.203125
2025-10-30,628.8775024414062,,95.1744613647461,19698.427734375,31400.0,1845.582763671875,766.0,402.3999938964844,83.30000305175781,11395.41015625,15684.2099609375,959.7946166992188,11360.0,2909.857421875,12555.9267578125,1170.0,27924.041015625,26930.0,32589.958984375,124.46858978271484,4787.0,2793.0,5900.0,6878.80224609375,69664.2734375
2025-11-27,695.96435546875,,103.1723175048828,21798.26171875,33320.0,1857.67529296875,713.7000122070312,,101.0,12085.1318359375,15776.1787109375,958.1949462890624,12830.0,2929.8564453125,13075.7578125,1320.0,28903.83203125,34520.0,36038.89453125,122.06919860839844,5345.0,2605.0,6720.0,9418.359375,74571.7578125
2025-12-31,839.8363647460938,1224.8231201171875,99.07342529296876,23138.154296875,41470.0,2264.60400390625,764.5999755859375,395.8999938964844,121.8000030517578,12424.9951171875,17405.783203125,987.78857421875,14480.0,3128.8466796875,13176.96484375,1546.0,35872.34765625,37300.0,39927.6953125,138.3650665283203,5841.0,3125.0,7459.0,8688.4873046875,71463.3515625
2026-01-30,951.0147094726562,1236.8214111328125,101.97264099121094,22868.173828125,43550.0,2512.560791015625,809.7000122070312,,145.10000610351562,14264.2548828125,18265.576171875,1241.8465576171875,17610.0,2989.853515625,15096.5224609375,1670.0,32173.134765625,42140.0,39937.6953125,151.97622680664062,6557.0,3620.0,8465.0,9397.36328125,75761.1484375
2026-02-27,982.0086669921876,1460.7890625,102.07261657714844,22498.203125,43800.0,2316.594970703125,809.4000244140625,,155.1999969482422,16443.376953125,20495.03515625,1419.8245849609375,21450.0,3269.83984375,15996.3154296875,1695.0,34502.63671875,39590.0,44726.21875,203.36817932128903,6706.0,3676.0,9871.0,13027.7314453125,76890.5703125
2026-03-31,1080.7894287109375,1513.781494140625,135.4636688232422,26667.87109375,54890.0,2460.78515625,1082.0,350.3999938964844,187.8000030517578,17402.98828125,19477.255859375,1799.777587890625,20930.0,3746.81640625,16596.177734375,1650.0,40841.28515625,53870.0,45356.0234375,244.76171875,7250.0,4284.0,10860.0,13437.66015625,77397.890625
2026-04-30,1161.0,1627.0,150.7716064453125,31678.8125,60810.0,2699.76416015625,1537.0,405.2000122070313,229.1999969482422,18295.392578125,22416.84375,2204.8642578125,26290.0,4149.796875,17727.287109375,1881.0,41200.0,60620.0,48102.6640625,234.3775787353516,8819.0,4852.0,12370.0,15297.3359375,81476.7265625
2026-05-29,1196.0,1545.0,161.76953125,34698.69921875,71700.0,2754.867919921875,1837.0,350.29998779296875,241.8000030517578,17895.4921875,28957.97265625,2143.867919921875,30380.0,4573.77587890625,18737.1328125,1911.0,44010.0,80570.0,52302.0234375,290.9721374511719,10460.0,4650.0,12380.0,17336.98046875,83156.25
2026-06-30,1110.0,1650.0,157.4703369140625,35840.0,70400.0,2626.8740234375,2072.0,415.1000061035156,247.5,15658.4296875,28198.025390625,2084.0,26300.0,4500.0,16458.64453125,1656.0,49180.0,76440.0,44673.1875,276.9883728027344,8790.0,4600.0,9250.0,12428.6767578125,79129.0546875
2026-07-31,1126.0,1750.0,194.7633056640625,34620.0,76520.0,2896.861083984375,1979.0,441.1000061035156,223.8999938964844,17568.23828125,29097.962890625,1958.0,26000.0,4579.0,17198.583984375,1739.0,60000.0,67700.0,47892.6953125,281.8881530761719,10900.0,4898.0,9593.0,14138.4951171875,86288.0625
2026-08-31,1134.0,1825.0,211.6999969482422,35350.0,69500.0,3120.0,2033.0,468.2000122070313,216.3999938964844,19358.05859375,29400.0,2078.0,23340.0,4247.0,18778.453125,2021.0,49880.0,61220.0,51612.12890625,248.88954162597656,9490.0,4483.0,9939.0,17180.0,86847.984375
