Date,AAGEET.JO,ADH.JO,OAS.JO,ART.JO,JPETNQ.JO,MRF.JO,OCT.JO,OMN.JO,BHG.JO,GND.JO,SBK.JO,LLETNC.JO,GLN.JO,KAP.JO,LLETNQ.JO,S32.JO,SUR.JO,NTC.JO,REM.JO,AMC009.JO,AGL.JO,DSY.JO,APN.JO,PAETNC.JO,PAETNQ.JO
2025-09-30,,3147.1357421875,2097.975830078125,2838.906982421875,,106.80902862548828,1135.99951171875,7152.97119140625,47644.35546875,1502.3367919921875,23626.08984375,877.0,7969.84326171875,165.0,964.0,3111.590576171875,3408.40234375,1419.243896484375,16767.251953125,128301.0,64647.5234375,19697.2734375,9685.8896484375,1341.0,1475.0
2025-10-31,,3533.02978515625,2098.975341796875,2940.867431640625,,109.80367279052734,1273.8780517578125,7613.64697265625,49315.69921875,1694.252197265625,25442.09765625,1021.0,8307.8359375,164.0,1119.0,3563.531005859375,3609.249267578125,1458.22314453125,17213.494140625,134204.0,65664.484375,21778.02734375,9812.0,1449.0,1588.0
2025-11-28,,3698.984375,2198.9267578125,3118.799072265625,,108.80545806884766,1473.7020263671875,7644.62548828125,46448.8203125,1675.260498046875,26347.603515625,1269.0,8156.83935546875,167.0,1413.0,3559.531494140625,3724.161376953125,1531.184326171875,17384.48046875,134256.0,64069.54296875,21951.01953125,9500.0,1222.0,1361.0
2025-12-31,,3721.977783203125,2199.55322265625,3277.408447265625,,108.80545806884766,1483.435302734375,7874.4638671875,50692.1640625,1699.2498779296875,29024.140625,,9114.8212890625,192.0,,3933.482177734375,3823.0859375,1582.1571044921875,18159.412109375,141449.0,68507.375,22756.982421875,11679.0,,
2026-01-30,,3923.922607421875,2299.53271484375,3320.400634765625,,113.7965316772461,1419.459716796875,8447.0615234375,56076.0546875,1721.240234375,29856.685546875,1134.0,10994.7841796875,223.0,1355.0,5119.326171875,4061.904052734375,1549.631591796875,18344.396484375,149567.0,74633.140625,23519.94921875,10752.0,1062.0,1270.0
2026-02-27,,4100.87353515625,2479.496337890625,3329.39892578125,,117.78939819335938,1498.4295654296875,8943.7119140625,65198.484375,1859.1793212890625,32115.451171875,1136.0,11449.775390625,216.0,1358.0,5226.31201171875,4313.7119140625,1716.5919189453125,19387.3046875,153905.0,79908.9375,26134.83203125,13541.0,876.0,1047.0
2026-03-31,,4219.84130859375,2539.484130859375,3214.419677734375,3105.0,110.87835693359376,1564.404541015625,9543.291015625,60587.31640625,1874.1727294921875,30428.373046875,1076.0,12798.7490234375,204.0,1205.0,5098.951171875,3898.208740234375,1651.6072998046875,18852.3515625,150884.0,71999.8046875,24830.0,13140.0,1015.0,1137.0
2026-04-30,,4264.5390625,2824.42626953125,3598.350341796875,3370.0,114.87397003173828,1688.3572998046875,9641.2216796875,65723.2421875,2244.785400390625,32040.099609375,1074.0,12849.7470703125,243.0,1227.0,4982.9521484375,4198.07080078125,1728.5889892578125,19467.0,153231.0,81212.7734375,25842.0,13900.0,1117.0,1278.0
2026-05-29,998.0,4246.541015625,2870.416748046875,3619.3466796875,3210.0,124.8630142211914,1651.0,10134.875,71953.9375,2604.7509765625,31431.26953125,1237.0,12562.8369140625,277.0,1459.0,5564.94677734375,4328.01123046875,1767.5797119140625,19050.0,151103.0,87532.7578125,27834.0,14474.0,1651.0,1948.0
2026-06-30,997.0,4753.486328125,2940.0,3739.324951171875,3575.0,131.8553466796875,1760.0,11183.1376953125,67726.8203125,2669.74462890625,32298.029296875,1357.0,11279.853515625,270.0,1588.0,4446.95751953125,4308.0205078125,1803.5711669921875,19700.0,148239.0,80999.78125,26423.0,15688.0,2071.0,2423.0
2026-07-31,1011.0,4758.48583984375,2940.0,4004.277099609375,3817.0,132.854248046875,1739.0,10547.5849609375,70493.2421875,2669.74462890625,32912.859375,1296.0,12149.841796875,268.0,1501.0,5289.94921875,4186.076171875,1893.0,19439.0,147785.0,83822.7734375,26216.0,14910.0,2016.0,2335.0
2026-08-31,1030.0,4996.4599609375,2940.0,4089.26171875,3871.0,146.83889770507812,1740.0,9934.0,76483.9921875,2458.764892578125,31767.17578125,1288.0,12900.0,276.0,1531.0,5979.9423828125,4497.93310546875,1801.0,19409.0,148862.0,91560.0,25827.0,15830.0,2274.0,2704.0
